idx,explanation,model_predict
11,"تعلیق در مرحله انعقاد به معنای موقوف‌التحقق بودن عقد است و هیچ اثری از عقد جریان نمی‌یابد تا شرط محقق شود. اما در تعلیق در مرحله اجرا (تعلیق اجرای تعهد)، عقد منعقد شده و دارای اثر است (مانند ایجاد حق رجوع یا حق مطالبه در آینده)، هرچند اجرای تعهد اصلی به تعویق افتاده است. بنابراین، این ادعا که ""در هر دو اثر عقد تا رفع تعلیق جریان پیدا نمی‌کند"" صحیح نیست.",1
12,"اجل (مدت) برای انجام تعهدات قراردادی می‌تواند ناشی از اراده طرفین (توافق)، حکم دادگاه (در مواردی که قانون مهلت تعیین نکرده است) یا حکم قانون خاص (در مواردی که قانون برای قرارداد خاصی مهلت مقرر کرده است) باشد. گزینه (4) هر سه منبع را به درستی پوشش می‌دهد.",4
13,"عقد (مانند بیع) مملک است. ایقاع نیز می‌تواند مملک باشد؛ برای مثال، طلاق (که ایقاع است) وضعیت حقوقی زوجه را تغییر می‌دهد و اقرار نیز مملک است. بنابراین، این گزاره که ""ایقاع هیچگاه مملک نیست"" نادرست است.",1
14,"طبق ماده 7 قانون روابط موجر و مستأجر مصوب 1376، مستأجر صاحب حق کسب یا پیشه یا تجارت، حق انتقال سرقفلی خویش به غیر را دارد، مگر اینکه این حق در ضمن عقد اجاره از وی سلب شده باشد.",4
15,"نقل از آثار منتشر شده برای مقاصد علمی، ادبی و آموزشی تحت شرایطی مجاز است (اصل نقل قول)، اما این اجازه مطلق نیست و باید با رعایت شرایطی مانند ذکر منبع و عدم تجاوز از حد متعارف صورت گیرد. بنابراین، این گزاره که نقل قول بدون هیچ قید و شرطی مجاز است، صحیح نیست.",2
16,"اگرچه در وکالتنامه اختیار فروش به هر قیمتی داده شده است، اما وکیل موظف است مصلحت موکل را رعایت کند (رعایت غبطه - ماده 667 ق.م). فروش ملک به یک سوم قیمت عرفی، نشان‌دهنده عدم رعایت غبطه است و این عمل از حدود متعارف اذن خارج تلقی می‌شود. در نتیجه، معامله نسبت به موکل (ب) غیر نافذ بوده و با رد موکل، معامله باطل می‌شود.",1
17,"طبق ماده 271 قانون مدنی، وارث باید ظرف یک ماه از تاریخ اطلاع از فوت مورث، ترکه را قبول یا رد کند. اگر تحریر ترکه صورت گرفته باشد، مهلت یک ماهه از تاریخ ابلاغ خاتمه تحریر ترکه آغاز می‌شود، زیرا این تاریخ، تاریخ اطلاع قطعی وارث از وضعیت ترکه است.",3
18,"با توجه به وجود جنین زنده متولد شده، سهم زوجه یک هشتم (1/8) است (ماده 873 ق.م). مابقی (7/8) متعلق به جنین است. چون جنین بلافاصله فوت می‌کند و فرضی بر وجود وارث برای جنین نشده است، سهم او به ترکه اصلی بازمی‌گردد (ماده 874 ق.م). این سهم (7/8) بین ورثه باقی‌مانده (خواهر و برادر) به تساوی تقسیم می‌شود. بنابراین، 1/8 به همسر و مابقی به خواهر و برادر می‌رسد.",2
19,"وفای به عهد زمانی محقق می‌شود که عین معین مورد تعهد تسلیم شود (ماده 294 ق.م). اگر متعهد به جای آن مال، مال دیگری را تسلیم کند و متعهدله آن را قبول نماید، این عمل به منزله توافق جدید بر جایگزینی مال است که ماهیت معاوضه (بیع) یا صلح در مقام معاوضه را پیدا می‌کند و موجب سقوط تعهد اصلی می‌شود.",2
20,"اصل بر این است که مستعیر نمی‌تواند مال عاریه را به دیگری بسپارد مگر با اذن مُعیر. اما در شرایط اضطراری و برای حفظ مال از خطر تلف یا آسیب، اگر دسترسی به مُعیر ممکن نباشد، مستعیر می‌تواند برای دفع خطر، مال را به دیگری بسپارد.",4
21,"طبق ماده 25 قانون دیوان عدالت اداری، اثر ابطال مصوبات از زمان صدور رأی دیوان است، مگر اینکه ابطال به علت مخالفت با شرع باشد که در این صورت اثر آن از زمان تصویب مصوبه خواهد بود، یا در رأی تصریح شده باشد که اثر آن از زمان تصویب است.",2
22,"طبق ماده 489 قانون آیین دادرسی مدنی، رأی داوری باید به اکثریت عددی داوران صادر شود. در اینجا دو نفر از سه داور رأی موافق داده‌اند که اکثریت عددی را تشکیل می‌دهد. بنابراین، رأی داوری صحیحاً صادر شده و قابل درخواست بطلان نیست (مگر به جهات قانونی دیگر).",3
23,"اگر دیوان عالی کشور در مرحله فرجام‌خواهی احراز کند که سند مستند حکم فرجام‌خواسته رسمی بوده و صحت آن مورد ادعا نبوده است، حکم را نقض و پرونده را به دادگاه هم‌عرض ارجاع می‌دهد (ماده 580 ق.آ.د.م).",3
24,"اعتراض ثالث باید در مهلت قانونی (معمولاً یک ماه از تاریخ اطلاع یا اجرای حکم) تقدیم شود. از آنجا که در این فرض مهلت قانونی (از سال 1390 تا 1403) گذشته است، تنها در صورتی اعتراض قابل استماع است که ثابت شود حقوقی که اساس و ماخذ اعتراض است، قانوناً ساقط نشده باشد (یعنی مشمول مرور زمان یا سقوط دیگری نشده باشد).",1
25,"طبق قانون شوراهای حل اختلاف مصوب 1402، دادگاه عمومی حقوقی ملزم به رعایت اصول و تشریفات دادرسی است. دادگاه صلح و شورای حل اختلاف ملزم به رعایت اصول دادرسی هستند، اما رعایت تشریفات دادرسی برای آنها الزامی نیست.",2
26,"امور مربوط به تحریر ترکه، مهر و موم و رفع آن، از امور حسبی هستند. طبق قانون شوراهای حل اختلاف مصوب 1402، صلاحیت رسیدگی به امور حسبی که ماهیت مقدماتی دارند، به دادگاه صلح محول شده است.",4
27,"طبق ماده 50 قانون دیوان عدالت اداری، اگر شکایات منشأ و مبنای واحد داشته باشند یا دیوان بتواند ضمن یک دادرسی به آنها رسیدگی کند، دیوان به همه موارد رسیدگی توأمان می‌کند؛ در غیر این صورت، موارد تفکیک و جداگانه رسیدگی می‌شوند.",2
28,"طبق ماده 515 قانون آیین دادرسی مدنی، اسناد تنظیم شده در خارج از ایران باید به تصدیق وزارت امور خارجه ایران برسد، مگر اینکه ایران با کشور محل تنظیم سند قرارداد تعاون قضایی داشته باشد که در این صورت ممکن است این مرحله ساقط شود. بنابراین، گواهی وزارت امور خارجه فقط در صورتی لازم نیست که قرارداد تعاون قضایی وجود داشته باشد.",3
29,"طبق مقررات اجرای احکام مدنی: مهلت اعتراض به نظریه کارشناس سه روز از تاریخ ابلاغ اخطار وصول نظریه کارشناس است، و مهلت اعتراض به نظریه ارزیاب هفت روز از تاریخ ابلاغ نظریه ارزیاب است.",1
30,"طبق ماده 369 قانون آیین دادرسی مدنی، احکام صادره از دادگاه تجدیدنظر راجع به اصل نکاح، فسخ آن، طلاق، نسب و همچنین متفرعات دعوی راجع به آنها، قابل فرجام‌خواهی است. گزینه (2) به درستی این شمولیت را بیان می‌کند.",2
31,"در صورتی که دادخواست تجدیدنظر علیه چند نفر صادر شده باشد و تجدیدنظرخواه بخواهد نسبت به یکی از محکوم‌علیهم تجدیدنظرخواهی خود را مسترد کند، باید درخواست استرداد دادخواست تجدیدنظر را نسبت به آن شخص در دادگاه تجدیدنظر که مرجع رسیدگی به تجدیدنظرخواهی است، مطرح نماید (ماده 356 ق.آ.د.م).",1
32,"طبق ماده 582 قانون آیین دادرسی مدنی، در صورت بلااثر شدن حکم خلع ید، عملیات اجرایی باید اعاده شود. این اعاده به دستور دادگاهی است که حکم بلااثرکننده را صادر کرده است. همچنین، چون شخص الف بنا را تخریب کرده است، باید بهای آن توسط کارشناس تعیین و از او اخذ و به شخص ب داده شود.",2
33,"طبق ماده 214 قانون آیین دادرسی مدنی، اگر سندی که رونوشت آن ابراز شده است، در جلسه دادرسی به درخواست طرف مقابل ارائه شود و ارائه‌دهنده نتواند اصل سند را در همان جلسه حاضر کند، آن سند از عداد دلایل خارج می‌شود، خواه انکارکننده خواهان باشد یا خوانده.",3
34,"طبق مقررات اجرای احکام مدنی، مال بازداشت شده باید صورت‌برداری و ارزیابی شود. سپس مال به حافظ سپرده می‌شود که می‌تواند هر شخصی باشد، و در صورت عدم توافق طرفین، مأمور اجرا حافظ را تعیین می‌کند. گزینه (4) به درستی ترتیب صورت‌برداری و ارزیابی را قبل از سپردن به حافظ ذکر کرده و امکان تعیین حافظ بدون توافق طرفین (توسط مأمور اجرا) را می‌پذیرد.",4
35,"طبق ماده 230 قانون آیین دادرسی مدنی، اگر گواه احضار شده بدون عذر موجه حاضر نشود، دادگاه می‌تواند دستور جلب او را برای جلسه بعد صادر نماید. این بدان معناست که گواه مجدداً احضار خواهد شد و در صورت عدم حضور مجدد، ضمانت اجرای جلب اعمال می‌شود.",4
36,"احکام صادره از دادگاه صلح، ابتدا قابل تجدیدنظرخواهی در دادگاه عمومی حقوقی یا تجدیدنظر استان هستند. پس از قطعی شدن حکم تجدیدنظر، این حکم قابل فرجام‌خواهی نیست، مگر اینکه در خصوص دعاوی خاص مندرج در ماده 369 ق.آ.د.م (مانند طلاق یا نسب) باشد. دعوای مطالبه وجه نقد مشمول این استثنائات نیست. بنابراین، حکم قطعی دادگاه صلح (پس از طی مراحل تجدیدنظر) قابل فرجام‌خواهی نیست.",1
37,"طبق ماده 581 قانون آیین دادرسی مدنی، در صورت صدور قرار قبولی اعاده دادرسی: در محکوم به غیرمالی، اجرای حکم متوقف می‌شود؛ و در محکوم به مالی، اجرای حکم متوقف نمی‌شود مگر اینکه محکوم‌علیه تأمین مناسب بدهد.",2
38,"اگر دادخواست به دلیل نقص در هزینه دادرسی رفع نقص نشود و پرونده به جریان افتاده و حکم صادر شود، دادگاه تجدیدنظر موظف است این نقص شکلی اساسی را بررسی کند. اگر متوجه شود که دادخواست اولیه باید به دلیل عدم رفع نقص در مهلت قانونی رد می‌شده است، حکم تجدیدنظرخواسته را نقض و قرار رد دادخواست نخستین را صادر می‌کند.",3
39,"طبق ماده 29 قانون آیین دادرسی مدنی، در صورتی که بین دادگاه‌های هم‌سطح در یک حوزه قضایی (استان) اختلاف صلاحیت رخ دهد، مرجع حل اختلاف، دادگاه تجدیدنظر همان استان است. دادگاه عمومی حقوقی و دادگاه کیفری دو در یک استان هم‌سطح محسوب می‌شوند.",3
40,"وضعیت حکم نسبت به طرفین بر اساس ابلاغ و حضور در جلسه اول تعیین می‌شود: الف (ابلاغ واقعی، غایب) -> غیابی؛ ب (ابلاغ قانونی، حاضر) -> حضوری؛ ج (ابلاغ قانونی، غایب) -> غیابی. اگر خواهان نیز در جلسه صدور حکم غایب بوده باشد، حکم نسبت به او غیابی است. ترتیب (خواهان، الف، ب، ج): غیابی، غیابی، حضوری، غیابی.",4
41,"طبق ماده 137 قانون تجارت، مدیران شرکت سهامی در صورتی که باقی‌مانده مبلغ اسمی سهام را مطالبه نکنند، مسئولیت تضامنی در تادیه آن مبلغ خواهند داشت. این مسئولیت به معنای جبران خسارت وارده به شرکت ناشی از عدم وصول سرمایه است.",1
42,"طبق ماده 141 قانون تجارت، عضویت در هیئت مدیره بیش از پنج شرکت سهامی ممنوع است، مگر در شرکت‌هایی که تمام یا بخشی از سرمایه آن متعلق به دولت یا مؤسسات عمومی غیردولتی باشد که در این شرکت‌ها این ممنوعیت اعمال نمی‌شود.",2
43,"طبق ماده 558 قانون تجارت، اگر پس از خاتمه ورشکستگی، مالی کشف شود و مطالبات طلبکاران به طور کامل پرداخت نشده باشد، آن مال به فروش رسیده (از طریق مزایده) و حاصل فروش بین طلبکاران تقسیم می‌شود.",2
44,"طبق ماده 10 قانون تجارت، ثبت نام اشخاص در دفتر ثبت تجاری، اماره بر تاجر بودن شخص ایجاد می‌کند و این اماره قابل اثبات خلاف است.",3
45,"طبق ماده 165 قانون تجارت، مبلغی که از افزایش سرمایه بیش از مبلغ اسمی سهام دریافت می‌شود، باید به اندوخته قانونی منتقل شود.",3
46,"طبق ماده 370 قانون تجارت، دلالی که در نفس معامله منتفع باشد و این موضوع را اطلاع ندهد، مسئول خسارت وارده بوده و با آمر خود متضامناً مسئول اجرای تعهد است.",1
47,"طبق ماده 294 قانون تجارت، اگر برات مفقود شده، قبول شده باشد، دارنده می‌تواند بدون دادن ضامن یا دخالت دادگاه، از مسحوب‌علیه (قبول‌کننده) مطالبه کند.",1
48,"طبق ماده 141 قانون تجارت، اگر کارمند رسمی دولت بدون موافقت دستگاه متبوع به مدیریت انتخاب شود و ظرف یک ماه موافقت را اخذ نکند و سهام وثیقه را نسپارد، مستعفی شناخته می‌شود.",2
49,"اگر بازرس اصلی عزل شود، بازرس علی‌البدل به صورت خودکار جانشین او می‌شود. اگر بازرس علی‌البدل وجود داشته باشد، مصوبه عزل معتبر است و بازرس علی‌البدل وظایف بازرس اصلی را انجام می‌دهد تا مجمع بعدی بازرس جدیدی انتخاب کند. اگر بازرس علی‌البدل وجود نداشته باشد، شرکت فاقد بازرس می‌شود و ذی‌نفع می‌تواند ابطال تصمیم مجمع را تقاضا کند (زیرا شرکت نباید بدون بازرس بماند).",3
50,"طبق ماده 201 قانون تجارت، در تبدیل شرکت تضامنی به شرکت سهامی، شرکای شرکت تضامنی در مدت سه سال از تاریخ ثبت شرکت جدید، مسئولیت تضامنی در قبال طلبکاران شرکت تضامنی سابق خواهند داشت.",3
51,"برای انتشار اعلامیه پذیره‌نویسی شرکت سهامی عام، علاوه بر تأمین حداقل سرمایه و تسلیم گواهی آن به مرجع ثبت شرکت‌ها، اخذ موافقت سازمان بورس و اوراق بهادار برای انتشار اعلامیه ضروری است.",3
52,"در شرکت سهامی، مسئولیت سهامداران محدود به میزان سهم‌الشرکه آنهاست. بنابراین، ورشکستگی یک سهامدار (سهامدار شرکت سهامی عام) هیچ تأثیری بر وضعیت حقوقی و مالی شرکت سهامی ندارد و امکان ورشکستگی شرکت به این دلیل منتفی است.",4
53,"شرط مزبور یک رابطه شخصی بین فروشنده (محتال) و خریدار (محیل) است. اگر چک به دارنده بلافصل (فروشنده) منتقل شده باشد، او ملزم به رعایت شرطی است که خود پذیرفته است. بنابراین، استناد در مقابل دارنده بلافصل ممکن است.",1
54,"انتقال چک از طریق ظهرنویسی (انتقال به غیر) مستلزم امضای ظهرنویس است. گزاره‌ای که می‌گوید انتقال چک صیادی نیازی به امضای ظهرنویس ندارد، نادرست است، زیرا ظهرنویسی اساساً به معنای امضای ظهر برای انتقال است.",2
55,"طبق مقررات جدید چک صیادی، در صورت صدور گواهی عدم پرداخت و درخواست اجرائیه، موجودی تمامی حساب‌های صادرکننده در هر بانکی مسدود می‌شود. اما دریافت خسارت تأخیر تأدیه (وجه التزام) برای چک‌هایی که منجر به صدور اجرائیه شده‌اند، در رویه فعلی پذیرفته نیست.",4
56,"حکم ورشکستگی قطعی است و به محض صدور، اثرات خود را اعمال می‌کند (مانند توقف دعاوی انفرادی). اجرای حکم ورشکستگی یک رویه جمعی است و موقت نیست. بنابراین، این گزاره که ""حکم ورشکستگی قطعی است و به طور موقت اجرا می شود"" نادرست است.",2
57,"فروش مال مولی‌علیه توسط قیم بدون اذن دادگاه، باطل یا غیر نافذ است (طبق مقررات قیمومت در قانون مدنی)، زیرا این عمل خارج از حدود اختیارات قیم است و ارتباطی به وضعیت ورشکستگی ندارد، اما به هر حال نافذ نیست. سایر اعمال (مانند استخدام یا قبول صلح بلاعوض) معمولاً نافذ تلقی می‌شوند مگر اینکه پس از تاریخ توقیف و به قصد اضرار به طلبکاران انجام شده باشند.",2
58,"طبق ماده 224 قانون تجارت، در صورت تعارض بین مبلغ به حروف و مبلغ به عدد در سند تجاری، مبلغ مندرج به حروف معتبر است. این قاعده حتی در صورت اصلاح و امضای مجدد نیز حاکم است، مگر اینکه اصلاح به گونه‌ای باشد که تعارض را برطرف کند.",2
59,"گواهینامه موقت سهم، سندی است که به صاحبان سهام قبل از ثبت قطعی شرکت و صدور سهام عادی داده می‌شود. این گواهینامه تا زمان صدور سهام عادی معتبر است.",1
60,"طبق ماده 535 قانون تجارت، پس از انتشار صورت مطالبات تصدیق شده توسط اداره تصفیه، طلبکاران ظرف ده روز می‌توانند به رد طلب یا حق رجحان خود یا قبول طلب یا حق رجحان دیگری اعتراض کنند.",2
idx,explanation,model_predict
81,"بر اساس ماده 8 قانون مجازات اسلامی (بخش تعزیرات)، اگر جرمی در خارج از ایران واقع شود و مجازات آن تعزیری باشد، فرد مجدداً در ایران قابل محاکمه است، مشروط بر اینکه مجازات اجرا شده در کشور خارجی در تعیین مجازات جدید محاسبه شود.",1
82,"سرباز در شرایط اضطراری جنگی و برای جلوگیری از افشای اطلاعات محرمانه که منجر به ضرر بزرگتری برای کشور می‌شود، اقدام به تخریب بیسیم کرده است. این عمل مصداق اجرای وظیفه قانونی اهم (حفظ امنیت ملی و اسرار نظامی) است که بر وظیفه حفظ اموال نظامی مقدم است و به عنوان یکی از جهات موجهه جرم محسوب می‌شود.",3
83,خیانت در امانت (ماده 674 ق.م.ا) و سوء استفاده از مهر یا امضای سفید (در صورتی که مربوط به حقوق خصوصی باشد) از جرایمی هستند که تعقیب آن‌ها منوط به شکایت شاکی خصوصی است و در زمره جرایم قابل گذشت قرار می‌گیرند. کلاهبرداری و جعل معمولاً غیر قابل گذشت هستند.,1
84,"طبق ماده 145 قانون مجازات اسلامی، در جرایمی که نتیجه آن صدمه بدنی یا فوت باشد، مسئولیت شخص حقوقی شامل پرداخت دیه و جزای نقدی است.",1
85,"مجازات تکمیلی، مجازاتی اختیاری است که قاضی در حدود مقرر در قانون (دارای حداکثر و گاهی فاقد حداقل الزامی) اعمال می‌کند، اما مجازات تبعی حکمی ثابت و از پیش تعیین شده برای جرم خاص است.",2
86,"مصادره اموال یک مجازات مالی است که به اموال تعلق می‌گیرد و در مقام تخفیف مجازات‌های اصلی (مانند حبس یا شلاق)، تبدیل آن به مجازات‌های شخصی دیگر در چارچوب قواعد تخفیف معمولاً امکان‌پذیر نیست.",1
87,"حکم به معافیت از کیفر (گزینه 1) معمولاً در مورد اطفال و نوجوانان یا در شرایط خاصی اعمال می‌شود و شامل حال فرد بالغی که دارای سابقه محکومیت کیفری مؤثر است، نمی‌شود. آزادی مشروط (3) برای محکومین سابق طراحی شده است.",1
88,"طبق ماده 80 قانون مجازات اسلامی، اگر مرتکب در مدت تعویق صدور حکم، دستورات دادگاه را به طور کامل رعایت کند، دادگاه حکم به معافیت از کیفر صادر می‌نماید.",1
89,"جرم الف غیرعمدی است و طبق ماده 131 ق.م.ا، مشمول تعدد با جرایم عمدی نمی‌شود و معمولاً به حداقل مجازات محکوم می‌گردد. برای جرایم عمدی ب، ج و د، دادگاه مجازات اشد را اعمال کرده و می‌تواند آن را تشدید نماید. گزینه 1 به درستی وضعیت جرم غیرعمدی (الف) را مشخص کرده است.",1
90,"طبق ماده 5 قانون مبارزه با اسیدپاشی و حمایت از بزه دیدگان ناشی از آن، شرکا و معاونین در این جرم به مجازات مقرر برای مرتکب محکوم می‌شوند و این حکم تخصصی بر قواعد عمومی معاونت در قانون مجازات اسلامی حاکم است.",2
91,"در این حالت، مرتکب اقدام به حفاری (که خود جرم است) کرده است، اما به دلیل عدم وجود مال تاریخی در محل، نتیجه مورد نظر (به دست آوردن مال) حاصل نشده است. این وضعیت مصداق جرم عقیم است، زیرا اجرای رکن مادی جرم (حفاری) کامل شده اما نتیجه محقق نشده است.",3
92,"اقدام کارمند ثبت که با علم به خلاف واقع بودن، تصرفات مالکانه نسبت به پلاک ثبتی منابع طبیعی (اموال عمومی) را تأیید می‌کند، مصداق تغییر حقیقت در اسناد رسمی در مقام انجام وظیفه است و در حکم جعل اسناد رسمی محسوب می‌شود.",3
93,"اگر مقتول (ج) محقون الدم باشد، چون قصد قتل شخص محقون الدم بوده، قتل عمدی محسوب می‌شود (ماده 129 ق.م.ا). اگر مقتول (ج) مهدورالدم باشد، چون قصد قتل شخص محقون الدم بوده و اشتباهاً مهدورالدم کشته شده، قتل شبه عمد محسوب می‌شود (ماده 130 ق.م.ا).",1
94,"نصب بدافزاری که به صورت مخفیانه اقدام به ضبط صدا و ارسال اطلاعات سیستم قربانی می‌کند، هم مصداق شنود غیرمجاز (ماده 15 قانون جرایم رایانه‌ای) است و هم مصداق سرقت رایانه‌ای یا تحصیل غیرمجاز داده‌ها (ماده 13 قانون جرایم رایانه‌ای).",3
95,"امتناع عمدی از انجام تعهد پس از دریافت بیعانه و استفاده از آن وجه پس از مطالبه بازپرداخت، جرم خیانت در امانت را محقق می‌سازد. خرید ماشین با این وجه نیز مشمول عنوان پولشویی (پنهان کردن منشأ مال حاصل از جرم) است.",1
96,"اقدام قاضی مبنی بر درج عمدی مبلغی متفاوت از آنچه کارشناس اعلام کرده است، در صورت جلسه دادگاه، مصداق تغییر حقیقت در سند رسمی در مقام انجام وظیفه است و تحت عنوان جعل مادی اسناد رسمی قابل تعقیب است.",3
97,"کلاهبرداری مستلزم بردن مال غیر با توسل به وسایل متقلبانه است. در گزینه 2، اگر انتقال منافع ملک اجاره‌ای صرفاً انتقال مالکیت باشد، این یک معامله مالکانه است و اگر مستأجر با توسل به وسایل متقلبانه مالی از او برده نشده باشد، رکن کلاهبرداری محقق نمی‌شود.",2
98,"دادگاه می‌تواند با احراز پشیمانی و توبه نماینده قانونی (شخص حقیقی)، مجازات او را تخفیف دهد (ماده 122 ق.م.ا). اما مسئولیت شخص حقوقی مستقل است و توبه نماینده به طور خودکار موجب تخفیف مجازات شخص حقوقی نمی‌شود و دادگاه در مورد شخص حقوقی از این اختیار برخوردار نیست.",4
99,"چون فرد برای جرم اول از نهاد تعلیق اجرای مجازات استفاده کرده است، طبق مواد 46 و 78 قانون مجازات اسلامی، برای جرم دوم (که در سن 17 سالگی رخ داده و مشمول قوانین بزرگسالان است)، امکان بهره‌مندی مجدد از نهادهای ارفاقی تعلیق یا تعویق صدور حکم وجود ندارد.",4
100,"مرتکب دو فعل مجزا انجام داده است: اول، جعل سند رسمی (جرم جعل)؛ دوم، فروش مال غیر با استفاده از سند مجعول و بردن پول فرزند (جرم کلاهبرداری از فرزند). این وضعیت مصداق تعدد مادی جرایم است و مرتکب باید برای هر دو جرم مجازات شود.",4
101,"طبق ماده 306 قانون آیین دادرسی کیفری، جرایمی که مجازات قانونی آن‌ها دیه یا حبس تعزیری تا سه سال است، در صلاحیت دادگاه کیفری دو قرار دارد. قتل غیرعمد ناشی از تصادفات رانندگی در این چارچوب قرار می‌گیرد.",2
102,"طبق ماده 427 قانون آیین دادرسی کیفری، آرای صادره در خصوص جنبه عمومی جرایم غیرعمدی ناشی از کار، در صورتی که مجازات تعزیری آن درجه شش یا بیشتر باشد، قابل تجدیدنظر است.",2
103,"طبق ماده 45 قانون آیین دادرسی کیفری، در جرایم مشهود، جلب متهم در جرایمی که مجازات قانونی آن‌ها سلب حیات، حبس ابد، قصاص، یا تعزیر درجه یک تا سه باشد، منوط به کسب اجازه از مقام قضایی است و جلب مطلق و بدون شرط امکان‌پذیر نیست.",1
104,"طبق ماده 29 قانون آیین دادرسی کیفری، اختلاف صلاحیت بین دادگاه‌های هم‌سطح در یک حوزه قضایی یا استان، توسط دادگاه تجدیدنظر استان حل می‌شود. دادگاه کیفری دو و دادگاه حقوقی در سطح بدوی هم‌سطح محسوب می‌شوند.",1
105,"طبق ماده 310 قانون آیین دادرسی کیفری، جرایم ارتکابی توسط ضابطان دادگستری در مقام انجام وظیفه (مانند اجرای دستور قضایی)، در صلاحیت دادگاه نظامی یک است، مگر آنکه جرم ارتکابی مربوط به امور نظامی باشد.",3
