id,model,answer,confidence,latency_ms,raw,error,explanation,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words
26,openai/gpt-oss-120b,1.0,4.0,4512,"{""answer"":""1"",""confidence"":4}",,,,,,,
27,openai/gpt-oss-120b,2.0,4.0,4721,"{""answer"":""2"",""confidence"":4}",,,,,,,
28,openai/gpt-oss-120b,3.0,4.0,5720,"{""answer"":""3"",""confidence"":4}",,,,,,,
29,openai/gpt-oss-120b,4.0,4.0,5997,"{""answer"":""4"",""confidence"":4}",,,,,,,
30,openai/gpt-oss-120b,1.0,4.0,4470,"{""answer"":""1"",""confidence"":4}",,,,,,,
31,openai/gpt-oss-120b,1.0,4.0,2621,"{""answer"":""1"",""confidence"":4}",,,,,,,
32,openai/gpt-oss-120b,2.0,4.0,4651,"{""answer"":""2"",""confidence"":4}",,,,,,,
33,openai/gpt-oss-120b,2.0,4.0,4272,"{""answer"":""2"",""confidence"":4}",,,,,,,
34,openai/gpt-oss-120b,3.0,4.0,3776,"{""answer"":""3"",""confidence"":4}",,,,,,,
35,openai/gpt-oss-120b,4.0,4.0,4288,"{""answer"":""4"",""confidence"":4}",,,,,,,
36,openai/gpt-oss-120b,1.0,4.0,5856,"{""answer"":""1"",""confidence"":4}",,,,,,,
37,openai/gpt-oss-120b,2.0,5.0,4983,"{""answer"":""2"",""confidence"":5}",,,,,,,
38,openai/gpt-oss-120b,4.0,4.0,3001,"{""answer"":""4"",""confidence"":4}",,,,,,,
39,openai/gpt-oss-120b,1.0,4.0,3694,"{""answer"":""1"",""confidence"":4}",,,,,,,
40,openai/gpt-oss-120b,4.0,3.0,13171,"{""answer"":""4"",""confidence"":3}",,,,,,,
41,openai/gpt-oss-120b,1.0,4.0,3664,"{""answer"":""1"",""confidence"":4}",,,,,,,
42,openai/gpt-oss-120b,2.0,4.0,6005,"{""answer"":""2"",""confidence"":4}",,,,,,,
43,openai/gpt-oss-120b,4.0,4.0,3464,"{""answer"":""4"",""confidence"":4}",,,,,,,
44,openai/gpt-oss-120b,3.0,4.0,1670,"{""answer"":""3"",""confidence"":4}",,,,,,,
45,openai/gpt-oss-120b,2.0,4.0,2225,"{""answer"":""2"",""confidence"":4}",,,,,,,
46,openai/gpt-oss-120b,1.0,4.0,4495,"{""answer"":""1"",""confidence"":4}",,,,,,,
47,openai/gpt-oss-120b,1.0,3.0,2902,"{""answer"":""1"",""confidence"":3}",,,,,,,
48,openai/gpt-oss-120b,2.0,4.0,3412,"{""answer"":""2"",""confidence"":4}",,,,,,,
49,openai/gpt-oss-120b,1.0,4.0,2892,"{""answer"":""1"",""confidence"":4}",,,,,,,
50,openai/gpt-oss-120b,3.0,4.0,6248,"{""answer"":""3"",""confidence"":4}",,,,,,,
51,openai/gpt-oss-120b,4.0,4.0,4137,"{""answer"":""4"",""confidence"":4}",,,,,,,
52,openai/gpt-oss-120b,1.0,4.0,6543,"{""answer"":""1"",""confidence"":4}",,,,,,,
53,openai/gpt-oss-120b,2.0,4.0,2224,"{""answer"":""2"",""confidence"":4}",,,,,,,
54,openai/gpt-oss-120b,1.0,4.0,14890,"{""answer"":""1"",""confidence"":4}",,,,,,,
55,openai/gpt-oss-120b,4.0,3.0,6082,"{""answer"":""4"",""confidence"":3}",,,,,,,
56,openai/gpt-oss-120b,2.0,4.0,2636,"{""answer"":""2"",""confidence"":4}",,,,,,,
57,openai/gpt-oss-120b,3.0,4.0,4794,"{""answer"":""3"",""confidence"":4}",,,,,,,
58,openai/gpt-oss-120b,4.0,4.0,4539,"{""answer"":""4"",""confidence"":4}",,,,,,,
59,openai/gpt-oss-120b,3.0,4.0,4129,"{""answer"":""3"",""confidence"":4}",,,,,,,
60,openai/gpt-oss-120b,3.0,3.0,7420,"{""answer"":""3"",""confidence"":3}",,,,,,,
81,openai/gpt-oss-120b,1.0,4.0,4773,"{""answer"":""1"",""confidence"":4}",,,,,,,
82,openai/gpt-oss-120b,2.0,4.0,3029,"{""answer"":""2"",""confidence"":4}",,,,,,,
83,openai/gpt-oss-120b,2.0,3.0,6635,"{""answer"":""2"",""confidence"":3}",,,,,,,
84,openai/gpt-oss-120b,3.0,3.0,3311,"{""answer"":""3"",""confidence"":3}",,,,,,,
85,openai/gpt-oss-120b,1.0,4.0,5731,"{""answer"":""1"",""confidence"":4}",,,,,,,
86,openai/gpt-oss-120b,2.0,3.0,8185,"{""answer"":""2"",""confidence"":3}",,,,,,,
87,openai/gpt-oss-120b,3.0,3.0,6410,"{""answer"":""3"",""confidence"":3}",,,,,,,
88,openai/gpt-oss-120b,1.0,4.0,4151,"{""answer"":""1"",""confidence"":4}",,,,,,,
89,openai/gpt-oss-120b,1.0,3.0,8212,"{""answer"":""1"",""confidence"":3}",,,,,,,
90,openai/gpt-oss-120b,3.0,4.0,5410,"{""answer"":""3"",""confidence"":4}",,,,,,,
91,openai/gpt-oss-120b,4.0,3.0,5789,"{""answer"":""4"",""confidence"":3}",,,,,,,
92,openai/gpt-oss-120b,1.0,4.0,3124,"{""answer"":""1"",""confidence"":4}",,,,,,,
93,openai/gpt-oss-120b,4.0,4.0,11029,"{""answer"":""4"",""confidence"":4}",,,,,,,
94,openai/gpt-oss-120b,3.0,4.0,1820,"{""answer"":""3"",""confidence"":4}",,,,,,,
95,openai/gpt-oss-120b,1.0,3.0,6388,"{""answer"":""1"",""confidence"":3}",,,,,,,
96,openai/gpt-oss-120b,1.0,4.0,4218,"{""answer"":""1"",""confidence"":4}",,,,,,,
97,openai/gpt-oss-120b,2.0,4.0,5558,"{""answer"":""2"",""confidence"":4}",,,,,,,
98,openai/gpt-oss-120b,2.0,3.0,4770,"{""answer"":""2"",""confidence"":3}",,,,,,,
99,openai/gpt-oss-120b,4.0,4.0,4491,"{""answer"":""4"",""confidence"":4}",,,,,,,
100,openai/gpt-oss-120b,2.0,4.0,2012,"{""answer"":""2"",""confidence"":4}",,,,,,,
101,openai/gpt-oss-120b,2.0,4.0,2525,"{""answer"":""2"",""confidence"":4}",,,,,,,
102,openai/gpt-oss-120b,2.0,4.0,5389,"{""answer"":""2"",""confidence"":4}",,,,,,,
103,openai/gpt-oss-120b,4.0,4.0,4132,"{""answer"":""4"",""confidence"":4}",,,,,,,
104,openai/gpt-oss-120b,3.0,4.0,2573,"{""answer"":""3"",""confidence"":4}",,,,,,,
105,openai/gpt-oss-120b,2.0,4.0,4336,"{""answer"":""2"",""confidence"":4}",,,,,,,
106,openai/gpt-oss-120b,3.0,4.0,3474,"{""answer"":""3"",""confidence"":4}",,,,,,,
107,openai/gpt-oss-120b,2.0,4.0,3049,"{""answer"":""2"",""confidence"":4}",,,,,,,
108,openai/gpt-oss-120b,1.0,3.0,5281,"{""answer"":""1"",""confidence"":3}",,,,,,,
109,openai/gpt-oss-120b,2.0,4.0,7004,"{""answer"":""2"",""confidence"":4}",,,,,,,
110,openai/gpt-oss-120b,2.0,4.0,2273,"{""answer"":""2"",""confidence"":4}",,,,,,,
111,openai/gpt-oss-120b,2.0,4.0,6705,"{""answer"":""2"",""confidence"":4}",,,,,,,
112,openai/gpt-oss-120b,2.0,4.0,8029,"{""answer"":""2"",""confidence"":4}",,,,,,,
113,openai/gpt-oss-120b,4.0,5.0,6073,"{""answer"":""4"",""confidence"":5}",,,,,,,
114,openai/gpt-oss-120b,4.0,3.0,9309,"{""answer"":""4"",""confidence"":3}",,,,,,,
115,openai/gpt-oss-120b,1.0,4.0,7120,"{""answer"":""1"",""confidence"":4}",,,,,,,
116,openai/gpt-oss-120b,3.0,3.0,6267,"{""answer"":""3"",""confidence"":3}",,,,,,,
117,openai/gpt-oss-120b,2.0,4.0,3426,"{""answer"":""2"",""confidence"":4}",,,,,,,
118,openai/gpt-oss-120b,3.0,4.0,4378,"{""answer"":""3"",""confidence"":4}",,,,,,,
119,openai/gpt-oss-120b,4.0,4.0,2507,"{""answer"":""4"",""confidence"":4}",,,,,,,
120,openai/gpt-oss-120b,3.0,4.0,4432,"{""answer"":""3"",""confidence"":4}",,,,,,,
121,openai/gpt-oss-120b,2.0,4.0,1818,"{""answer"":""2"",""confidence"":4}",,,,,,,
122,openai/gpt-oss-120b,3.0,4.0,3442,"{""answer"":""3"",""confidence"":4}",,,,,,,
123,openai/gpt-oss-120b,1.0,4.0,8238,"{""answer"":""1"",""confidence"":4}",,,,,,,
124,openai/gpt-oss-120b,1.0,3.0,8620,"{""answer"":""1"",""confidence"":3}",,,,,,,
125,openai/gpt-oss-120b,1.0,3.0,3873,"{""answer"":""1"",""confidence"":3}",,,,,,,
126,openai/gpt-oss-120b,2.0,4.0,2048,"{""answer"":""2"",""confidence"":4}",,,,,,,
127,openai/gpt-oss-120b,4.0,4.0,9954,"{""answer"":""4"",""confidence"":4}",,,,,,,
128,openai/gpt-oss-120b,3.0,4.0,2416,"{""answer"":""3"",""confidence"":4}",,,,,,,
129,openai/gpt-oss-120b,4.0,4.0,5005,"{""answer"":""4"",""confidence"":4}",,,,,,,
130,openai/gpt-oss-120b,3.0,4.0,4159,"{""answer"":""3"",""confidence"":4}",,,,,,,
131,openai/gpt-oss-120b,2.0,3.0,9110,"{""answer"":""2"",""confidence"":3}","Invalid answer '', expected one of {'2', '1', '3', '4'}",,859.0,1053.0,1912.0,0.0,0.0
132,openai/gpt-oss-120b,1.0,3.0,6130,"{""answer"":""1"",""confidence"":3}",,,,,,,
133,openai/gpt-oss-120b,3.0,4.0,3503,"{""answer"":""3"",""confidence"":4}",,,,,,,
134,openai/gpt-oss-120b,3.0,4.0,3994,"{""answer"":""3"",""confidence"":4}",,,,,,,
135,openai/gpt-oss-120b,1.0,3.0,11845,"{""answer"":""1"",""confidence"":3}",,,,,,,
136,openai/gpt-oss-120b,3.0,4.0,1776,"{""answer"":""3"",""confidence"":4}",,,,,,,
137,openai/gpt-oss-120b,2.0,4.0,4281,"{""answer"":""2"",""confidence"":4}",,,,,,,
138,openai/gpt-oss-120b,3.0,4.0,4470,"{""answer"":""3"",""confidence"":4}",,,,,,,
139,openai/gpt-oss-120b,1.0,5.0,4729,"{""answer"":""1"",""confidence"":5}",,,,,,,
140,openai/gpt-oss-120b,4.0,4.0,5227,"{""answer"":""4"",""confidence"":4}",,,,,,,
