idx,explanation,model_predict
11,"تعلیق در مرحله انعقاد (شرط تعلیقی) و تعلیق در مرحله اجرا (اجل یا شرط تأخیر در اجرا) هر دو می‌توانند ناشی از اراده طرفین باشند (تعلیق قراردادی). اما تعلیق ممکن است ناشی از حکم قانون نیز باشد؛ مانند تعلیق اثر وصیت تملیکی تا زمان فوت موصی. بنابراین، این ادعا که تعلیق در هر دو حالت صرفاً ناشی از اراده است، صحیح نیست.",2
12,"اجل (مدت) برای انجام تعهدات قراردادی می‌تواند ناشی از توافق طرفین (اراده طرفین) باشد. همچنین، در مواردی که اجل مشخص نشده اما ماهیت معامله یا عرف اقتضای اجل دارد، دادگاه می‌تواند اجل را تعیین کند (ماده 227 قانون مدنی). علاوه بر این، قانون خاص نیز می‌تواند برای انجام تعهدات، اجل تعیین کند.",4
13,"عقد می‌تواند مملک باشد (مانند بیع). ایقاع نیز می‌تواند در مواردی منجر به تملیک یا زوال مالکیت شود؛ مانند ابراء (که منجر به زوال مالکیت طلبکار بر ذمه مدیون می‌شود) یا اعراض (که منجر به زوال مالکیت می‌شود). بنابراین، این ادعا که ایقاع هیچگاه مملک نیست، صحیح نمی‌باشد.",1
14,"براساس ماده 6 قانون روابط موجر و مستأجر مصوب 1376، هرگاه مالک، ملک تجاری خود را به اجاره واگذار کند و مبلغی به عنوان سرقفلی دریافت نماید، مستأجر می‌تواند در طول مدت اجاره برای واگذاری حق خود مبلغی را از مستأجر دیگر به عنوان سرقفلی دریافت کند، مگر اینکه در ضمن عقد اجاره حق انتقال به غیر از وی سلب شده باشد.",4
15,"براساس ماده 23 قانون حمایت حقوق مؤلفان، مصنفان و هنرمندان (مصوب 1348)، نقل از آثار منتشر شده و استناد به آن‌ها برای مقاصد علمی، ادبی و آموزشی مجاز است، مشروط بر اینکه مأخذ (منبع)، نام مؤلف و عنوان اثر ذکر شود. بنابراین، نقل قول بدون هیچ قید و شرطی مجاز نیست.",2
16,"براساس ماده 667 قانون مدنی، وکیل باید در تصرفات و اقدامات خود مصلحت موکل را رعایت کند. اما اگر موکل صراحتاً به وکیل اجازه دهد که ملک را به هر قیمت و حتی به خودش واگذار کند، این اختیار صریح، وکیل را از رعایت غبطه معاف می‌سازد و معامله صحیح است. در این حالت، موکل با اعطای چنین اختیاری، خود اقدام به پذیرش ضرر احتمالی کرده است (قاعده اقدام).",2
17,"براساس ماده 266 قانون امور حسبی، در صورتی که تحریر ترکه صورت گرفته باشد، مهلت یک‌ماهه رد ترکه برای ورثه از تاریخ ابلاغ اخطار خاتمه تحریر ترکه آغاز می‌شود.",3
18,"جنین به شرط زنده متولد شدن ارث می‌برد (ماده 875 قانون مدنی). چون جنین زنده متولد شده و سپس فوت کرده، ابتدا از متوفی ارث می‌برد و سپس سهم‌الارث خود را به ورثه خود منتقل می‌کند. سهم همسر: 1/8 (به دلیل وجود فرزند). سهم جنین: 7/8 (مابقی ترکه، زیرا خواهر و برادر در طبقه دوم هستند و با وجود فرزند در طبقه اول، ارث نمی‌برند). پس از فوت جنین، سهم 7/8 او به ورثه‌اش می‌رسد. ورثه جنین فقط مادرش (همسر متوفی) است. در نتیجه، همسر متوفی 1/8 را به عنوان سهم‌الزوجیت و 7/8 را به عنوان سهم‌الارث از فرزندش دریافت می‌کند. کل ماترک به همسر می‌رسد.",3
19,"وفای به عهد زمانی محقق می‌شود که متعهد عین همان چیزی را که متعهد شده است، به متعهدله بدهد. در اینجا، متعهد به جای عین معین، مال دیگری می‌دهد و متعهدله قبول می‌کند. این عمل حقوقی «دادن به جای تعهد» نامیده می‌شود که ماهیت آن می‌تواند معاوضه، بیع یا صلح در مقام معاوضه یا بیع باشد و منجر به سقوط تعهد اصلی می‌شود.",2
20,"براساس ماده 640 قانون مدنی، مستعیر نمی‌تواند مال عاریه را به تصرف غیر دهد، مگر با اذن مالک. اما اگر مال عاریه در معرض خطر باشد و مستعیر به مالک دسترسی نداشته باشد، به حکم ضرورت و برای انجام وظیفه حفاظت (حفظ مال)، می‌تواند آن را به شخص امین دیگری بسپارد تا از خطر احتراز شود.",4
21,"براساس ماده 13 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری (مصوب 1392)، اثر ابطال مصوبات از زمان صدور رأی هیئت عمومی است، مگر در دو حالت: 1) در صورتی که مصوبه خلاف شرع باشد که اثر ابطال از زمان تصویب است، یا 2) در رأی هیئت عمومی به زمان دیگری تصریح شود.",2
22,"براساس ماده 484 قانون آیین دادرسی مدنی، رأی داوری باید به اکثریت داوران صادر شود. در فرض سؤال، هیئت داوری سه نفره بوده و دو نفر رأی موافق داده‌اند که اکثریت را تشکیل می‌دهد. بنابراین، رأی داوری صحیحاً صادر شده و قابل درخواست بطلان نیست. اختیارات اضافی صلح و سازش به دو نفر از داوران، تأثیری در اعتبار رأی داوری که با اکثریت صادر شده، ندارد.",3
23,"براساس بند «هـ» ماده 371 قانون آیین دادرسی مدنی، یکی از جهات نقض رأی در دیوان عالی کشور، احراز عدم صحت سندی است که مستند حکم قرار گرفته است. در این حالت، براساس ماده 375 قانون مذکور، دیوان عالی کشور حکم را نقض کرده و پرونده را برای رسیدگی مجدد به دادگاه هم‌عرض دادگاه صادرکننده رأی منقوض ارجاع می‌دهد، خواه سند عادی باشد یا رسمی.",3
24,"اعتراض ثالث اصلی اصولاً مهلت ندارد (ماده 417 قانون آیین دادرسی مدنی). اما براساس ماده 423 قانون آیین دادرسی مدنی، اگر اعتراض ثالث پس از اجرای حکم صورت گیرد، در صورتی مسموع است که معترض ثابت کند حقوقی که اساس و مأخذ اعتراض است، قانوناً ساقط نشده است.",1
25,"براساس ماده 11 قانون شوراهای حل اختلاف مصوب 1402، دادگاه صلح موظف به رعایت اصول دادرسی است، اما الزامی به رعایت تشریفات دادرسی ندارد. دادگاه عمومی حقوقی ملزم به رعایت هر دو (اصول و تشریفات) است.",1
26,"براساس ماده 9 قانون شوراهای حل اختلاف مصوب 1402، امور حسبی از جمله تحریر ترکه، مهر و موم و رفع آن، در صلاحیت دادگاه صلح قرار دارد.",4
27,"براساس ماده 21 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، اگر شکایات مندرج در دادخواست به نحوی باشد که نتوان ضمن یک دادرسی به آن‌ها رسیدگی کرد، یا منشأ و مبنای واحدی نداشته باشند، شعبه دیوان مکلف است آن‌ها را تفکیک کرده و جداگانه رسیدگی کند.",1
28,"براساس ماده 20 قانون آیین دادرسی مدنی، اسناد تنظیم شده در خارج از کشور، در صورتی در دادگاه‌های ایران پذیرفته می‌شوند که نماینده کنسولی ایران در آن کشور یا نماینده سیاسی ایران، سند را تصدیق کرده باشد و تصدیق مذکور نیز به تأیید وزارت امور خارجه ایران برسد. با این حال، در صورت وجود قرارداد تعاون قضایی بین ایران و کشور محل تنظیم سند، ممکن است گواهی وزارت امور خارجه لازم نباشد. بنابراین، گواهی وزارت امور خارجه فقط در صورتی لازم است که قرارداد تعاون قضایی وجود نداشته باشد.",3
29,"مهلت اعتراض به نظریه کارشناسی در دادرسی، هفت روز پس از تاریخ ابلاغ اخطار وصول نظریه است (ماده 260 قانون آیین دادرسی مدنی). مهلت اعتراض به ارزیابی مال در اجرای احکام مدنی، سه روز از تاریخ ابلاغ نظریه ارزیاب است (ماده 74 قانون اجرای احکام مدنی).",3
30,"براساس بند الف ماده 368 قانون آیین دادرسی مدنی، احکام صادره در خصوص اصل نکاح، فسخ آن، طلاق و نسب، قابل فرجام‌خواهی هستند. متفرعات این دعاوی نیز در صورتی که حکم راجع به اصل دعوا قابل فرجام باشد، قابل فرجام‌خواهی خواهند بود. از آنجا که هر چهار مورد اصلی قابل فرجام هستند، متفرعات آن‌ها نیز قابل فرجام است.",2
31,"خواهان در مرحله تجدیدنظر، قصد دارد تجدیدنظرخواهی خود را نسبت به یکی از تجدیدنظرخواندگان (شخص «ب») مسترد کند. استرداد دادخواست تجدیدنظرخواهی باید به دادگاهی که پرونده در آن مطرح است (دادگاه تجدیدنظر) ارائه شود (ماده 363 قانون آیین دادرسی مدنی).",1
32,"براساس ماده 177 قانون آیین دادرسی مدنی، در صورت بلااثر شدن حکم در پی اعاده دادرسی، عملیات اجرایی به دستور دادگاه اجراکننده حکم بلااثر شده، به حالت قبل از اجرا اعاده می‌شود. از آنجا که محکوم‌له (الف) اقدام به تخریب بنا کرده است، باید علاوه بر خلع ید، بهای بنای تخریب شده را نیز جبران کند که این امر توسط کارشناس تعیین و از وی اخذ و به محکوم‌علیه (ب) داده می‌شود.",1
33,"براساس ماده 96 قانون آیین دادرسی مدنی، هرگاه طرفی که به رونوشت سند عادی استناد کرده، در جلسه دادرسی اصل سند را حاضر نکند و طرف مقابل نسبت به آن اظهار انکار نماید، سند از عداد دلایل خارج می‌شود. این حکم مطلق است و تفاوتی نمی‌کند که انکارکننده خواهان باشد یا خوانده.",3
34,"براساس ماده 51 قانون اجرای احکام مدنی، اموال منقول بازداشت شده باید صورت‌برداری و ارزیابی شوند. براساس ماده 52، مال باید از محکوم‌علیه گرفته شده و به حافظ سپرده شود. براساس ماده 53، حافظ می‌تواند هر شخصی باشد، حتی بدون توافق طرفین، و مأمور اجرا او را تعیین می‌کند.",4
35,"براساس ماده 248 قانون آیین دادرسی مدنی، اگر گواه پس از احضار در جلسه دادرسی حاضر نشود، مجدداً احضار خواهد شد. تشخیص ارزش و تأثیر گواهی گواهان در هر حال با دادگاه است (ماده 241 قانون آیین دادرسی مدنی).",1
36,"براساس تبصره 2 ماده 17 قانون شوراهای حل اختلاف مصوب 1402، احکام صادره از دادگاه صلح، مطلقاً قابل فرجام‌خواهی نیستند.",1
37,"براساس ماده 437 قانون آیین دادرسی مدنی، در صورت صدور قرار قبولی اعاده دادرسی: 1. در محکوم‌به غیرمالی، اجرای حکم متوقف می‌شود. 2. در محکوم‌به مالی، اجرای حکم متوقف نمی‌شود، مگر اینکه محکوم‌علیه تأمین مناسب بدهد.",2
38,"براساس ماده 54 قانون آیین دادرسی مدنی، اگر خواهان در مهلت مقرر (10 روز) رفع نقص نکند، مدیر دفتر دادگاه مکلف به صدور قرار رد دادخواست است. اگر مدیر دفتر از صدور قرار خودداری کند و پرونده به جریان افتاده و حکم صادر شود، دادگاه تجدیدنظر باید براساس ماده 352 قانون آیین دادرسی مدنی، حکم تجدیدنظرخواسته را فسخ کرده و قرار رد دادخواست نخستین را صادر نماید.",3
39,"براساس ماده 28 قانون آیین دادرسی مدنی، هرگاه اختلاف در صلاحیت بین دادگاه‌های دو حوزه قضایی از یک استان باشد، حل اختلاف با دادگاه تجدیدنظر همان استان است. این قاعده شامل اختلاف بین دادگاه عمومی حقوقی و دادگاه کیفری دو (که هر دو در یک استان هستند) نیز می‌شود.",3
40,"توصیف حکم (حضوری یا غیابی) براساس ماده 303 قانون آیین دادرسی مدنی تعیین می‌شود: 1. خواهان: همیشه حضوری است. 2. شخص «الف»: ابلاغ واقعی شده، حاضر نشده و لایحه نداده است. حکم علیه او حضوری است. 3. شخص «ب»: حاضر شده است. حکم علیه او (اگر صادر می‌شد) حضوری است. 4. شخص «ج»: ابلاغ قانونی شده، حاضر نشده و لایحه نداده است. حکم علیه او غیابی است. بنابراین، وضعیت به ترتیب: حضوری (خواهان) – حضوری (الف) – حضوری (ب) – غیابی (ج).",1
41,"براساس ماده 35 لایحه اصلاحی قانون تجارت، در صورتی که مدیران شرکت سهامی در مطالبه باقیمانده مبلغ اسمی سهام کوتاهی کنند، متضامناً مسئول جبران خساراتی هستند که از این بابت به شرکت، صاحبان سهام یا اشخاص ثالث وارد می‌شود.",1
42,"براساس ماده 111 لایحه اصلاحی قانون تجارت، هیچ شخصی نمی‌تواند اصالتاً یا به نمایندگی از شخص حقوقی، همزمان در بیش از یک شرکت سهامی به سمت عضو هیئت مدیره یا مدیرعامل انتخاب شود. این ممنوعیت در تمام شرکت‌های سهامی (عام و خاص) جاری است.",3
43,"براساس ماده 576 قانون تجارت، اگر پس از ختم ورشکستگی مالی متعلق به ورشکسته کشف شود و مطالبات طلبکاران به طور کامل پرداخت نشده باشد، مال مذکور از طریق مزایده به فروش رسیده و حاصل فروش بین طلبکاران تقسیم می‌شود.",2
44,"براساس ماده 18 قانون تجارت، ثبت نام اشخاص در دفتر ثبت تجاری، اماره تاجر بودن شخص را ایجاد می‌کند. این اماره قابل اثبات خلاف است و دلیل قطعی و غیرقابل انکار محسوب نمی‌شود.",3
45,"براساس ماده 160 لایحه اصلاحی قانون تجارت، اضافه ارزش سهام دریافتی هنگام افزایش سرمایه، می‌تواند به اندوخته قانونی یا اندوخته اختیاری شرکت منتقل شود یا به صورت نقدی بین سهامداران تقسیم گردد. بنابراین، انتقال آن به اندوخته اختیاری ممکن است.",4
46,"براساس ماده 349 قانون تجارت، اگر دلال در معامله‌ای که دلالی آن را می‌کند، شخصاً منتفع باشد و این موضوع را به طرف مقابل اطلاع ندهد، علاوه بر مسئولیت جبران خسارات وارده، متضامناً با آمر خود مسئول اجرای تعهدات ناشی از معامله خواهد بود.",1
47,"براساس ماده 288 قانون تجارت، اگر براتی که در چند نسخه صادر شده و قبول نشده است، مفقود شود، دارنده می‌تواند با استفاده از نسخه‌های دیگر، حقوق خود را مطالبه کند و نیازی به دادن ضامن یا دخالت دادگاه نیست.",2
48,"براساس ماده 117 لایحه اصلاحی قانون تجارت، کارمندان رسمی دولت نمی‌توانند به عضویت هیئت مدیره شرکت‌های سهامی (به جز موارد استثنایی) انتخاب شوند. براساس ماده 119، هر ذی‌نفعی می‌تواند ابطال تصمیم مجمع عمومی را که برخلاف این ماده اتخاذ شده، از دادگاه درخواست کند.",1
49,"براساس تبصره 1 ماده 144 لایحه اصلاحی قانون تجارت، در صورت فوت، استعفا یا عدم توانایی بازرس اصلی، بازرس علی‌البدل وظایف او را برعهده می‌گیرد. بنابراین، اگر بازرس اصلی عزل شود و بازرس علی‌البدل وجود داشته باشد، او به صورت خودکار جانشین می‌شود و تصمیم مجمع معتبر است.",2
50,"براساس اصول حقوق تجارت، در صورت تبدیل شرکت تضامنی (با مسئولیت نامحدود) به شرکت سهامی خاص (با مسئولیت محدود)، مسئولیت شرکای شرکت در قبال طلبکارانی که طلب آن‌ها مربوط به قبل از تبدیل است، کماکان به صورت تضامنی باقی می‌ماند تا حقوق طلبکاران حفظ شود.",3
51,"شرکت سهامی عام با سرمایه 20 میلیارد ریال مشمول قانون بازار اوراق بهادار است. براساس ماده 4 قانون بازار اوراق بهادار (مصوب 1384)، انتشار اعلامیه پذیره‌نویسی مستلزم اخذ موافقت‌نامه از سازمان بورس و اوراق بهادار است. همچنین، براساس ماده 6 لایحه اصلاحی قانون تجارت، انتشار اعلامیه پذیره‌نویسی مستلزم اجازه مرجع ثبت شرکت‌ها نیز می‌باشد.",3
52,"در شرکت سهامی (عام یا خاص)، مسئولیت سهامداران محدود به مبلغ اسمی سهام آن‌ها است. بنابراین، ورشکستگی سهامدار هیچ تأثیری بر وضعیت حقوقی و مالی شرکت نداشته و منجر به ورشکستگی شرکت نمی‌شود.",4
53,"چک یک سند تجاری است و اصولاً از قرارداد پایه (اصل تجرید) مستقل است. اما در مقابل دارنده بلافصل (که خود طرف قرارداد پایه بوده و از شرط آگاه است)، ایرادات ناشی از قرارداد پایه قابل استناد است. در اینجا، فروشنده (دارنده بلافصل) خود شرط کرده که چک پس از انتقال سند قابل مطالبه است. بنابراین، صادرکننده می‌تواند در برابر او به این شرط استناد کند.",1
54,"براساس ماده 315 قانون تجارت، دارنده چک باید ظرف 15 روز (اگر در همان شهر صادر شده) یا 45 روز (اگر در شهرهای مختلف صادر شده) از تاریخ صدور، چک را برگشت بزند تا حق رجوع به ظهرنویسان و ضامنان را حفظ کند. مهلت 6 ماهه برای حفظ حق رجوع، نادرست است.",3
55,"براساس ماده 5 مکرر قانون صدور چک (اصلاحی 1397)، بانک پس از صدور گواهی عدم پرداخت، مکلف است موجودی تمامی حساب‌های صادرکننده را در *همان بانک* به میزان کسری مبلغ چک مسدود کند. مسدودسازی حساب‌ها در سایر بانک‌ها مستلزم دستور قضایی یا اجرای احکام است و به صورت خودکار توسط بانک صادرکننده گواهی انجام نمی‌شود.",3
56,"براساس ماده 437 قانون تجارت، حکم ورشکستگی قابل اعتراض (تجدیدنظر و فرجام) است. بنابراین، این حکم قطعی نیست، هرچند به طور موقت اجرا می‌شود.",2
57,"براساس ماده 418 قانون تجارت، ورشکسته از تاریخ صدور حکم ورشکستگی از هرگونه تصرف در اموال خود ممنوع است. واگذاری حق انتفاع آپارتمان مسکونی متعلق به ورشکسته، حتی به بستگان واجب‌النفقه، تصرف در اموال محسوب شده و غیرنافذ است.",3
58,"در اسناد تجاری، اگر مبلغ سند توسط صادرکننده تصحیح و مجدداً امضا شود، مبلغ جدید (مندرج در ظهر سند) که با امضای صادرکننده تأیید شده است، مناط اعتبار خواهد بود، زیرا آخرین اراده معتبر صادرکننده را نشان می‌دهد.",4
59,"براساس ماده 44 لایحه اصلاحی قانون تجارت، در صورتی که مبلغ اسمی سهام تماماً پرداخت نشده باشد، انتقال‌دهنده و انتقال‌گیرنده گواهینامه موقت سهام، متضامناً مسئول پرداخت بقیه مبلغ اسمی آن خواهند بود.",3
60,"براساس ماده 468 قانون تجارت، طلبکاران حق دارند ظرف 10 روز از تاریخ انتشار صورت مطالبات تصدیق شده، نسبت به رد طلب یا حق رجحان خود یا قبول طلب یا حق رجحان دیگری اعتراض کنند.",2
81,"براساس ماده 7 قانون مجازات اسلامی، جعل مهر و امضای مقامات دولتی ایران در خارج از کشور، مشمول صلاحیت فراسرزمینی ایران است و مرتکب در ایران قابل محاکمه است. همچنین، طبق ماده 8 قانون مجازات اسلامی، در صورت محکومیت مجدد در ایران، میزان مجازات تعزیری اجرا شده در خارج از کشور کسر می‌شود.",1
82,"اضطرار (اجرای قانون اهم) زمانی محقق می‌شود که فرد برای دفع خطر قریب‌الوقوع، مرتکب عملی شود که جرم است، مشروط بر اینکه خطر ناشی از عمل خود او نباشد و دفع آن جز با ارتکاب جرم ممکن نباشد (ماده 152 قانون مجازات اسلامی). در اینجا، سرباز برای حفظ اطلاعات محرمانه (دفع خطر بزرگتر) مرتکب تخریب (خطر کوچکتر) شده است.",3
83,"براساس تبصره ماده 104 قانون مجازات اسلامی (اصلاحی 1399)، جرایم کلاهبرداری و سرقت در صورتی که مبلغ مال مورد کلاهبرداری یا سرقت کمتر از یک میلیارد ریال (یک صد میلیون تومان) باشد، قابل گذشت محسوب می‌شوند.",2
84,"براساس ماده 20 قانون مجازات اسلامی، مسئولیت کیفری شخص حقوقی مانع مسئولیت شخص حقیقی نیست. مجازات‌های شخص حقوقی شامل انحلال، مصادره، ممنوعیت از فعالیت، جزای نقدی و انتشار حکم محکومیت است. دیه و جزای نقدی از جمله مجازات‌هایی هستند که می‌توانند بر شخص حقوقی اعمال شوند.",1
85,"مجازات تکمیلی (ماده 23 قانون مجازات اسلامی) توسط دادگاه تعیین می‌شود و دارای حداقل نیست، اما حداکثر آن دو سال است. مجازات تبعی (ماده 25) به حکم قانون اعمال می‌شود و میزان آن ثابت است و قابل تخفیف نیست.",2
86,"مجازات‌های تعزیری اصلی (حبس، شلاق، جزای نقدی) در مقام تخفیف قابل تبدیل به یکدیگر هستند. اما مصادره اموال (که مجازات تعزیری درجه 1 است) در مقام تخفیف مجازات دیگر، قابل تبدیل به مجازات دیگر نیست.",1
87,"براساس مواد 39، 40 و 46 قانون مجازات اسلامی، معافیت از کیفر، تعویق صدور حکم و تعلیق اجرای مجازات، مشروط به نداشتن سابقه محکومیت مؤثر کیفری هستند. اما آزادی مشروط (ماده 58) برای محکومانی است که بخشی از مجازات خود را تحمل کرده‌اند و سابقه محکومیت مؤثر مانع آن نیست.",3
88,"براساس ماده 45 قانون مجازات اسلامی، اگر مرتکب در مدت تعویق صدور حکم به دستورات دادگاه پایبندی کامل داشته باشد، دادگاه حکم به معافیت از کیفر صادر می‌کند.",1
89,"براساس ماده 131 قانون مجازات اسلامی، در تعدد جرایم عمدی و غیرعمدی، دادگاه برای جرم غیرعمدی (الف) حداقل مجازات را تعیین می‌کند. برای جرایم عمدی (ب، ج، د) طبق ماده 134 عمل می‌شود که در آن برای جرایم درجه 6 و بالاتر، مجازات اشد تعیین و تا یک ششم قابل تشدید است. جرم ج (جزای نقدی درجه 8) مشمول تعدد نیست. بنابراین، برای جرم الف حداقل مجازات و برای ب و د تشدید تا یک ششم حداکثر مجازات ممکن است.",2
90,"براساس ماده 1 قانون مجازات اسیدپاشی و حمایت از بزه دیدگان ناشی از آن (مصوب 1398)، مجازات معاونت در اسیدپاشی، حبس تعزیری درجه 1 یا 2 است.",1
91,"براساس ماده 562 قانون مجازات اسلامی (بخش تعزیرات)، حفاری و کاوش به قصد به دست آوردن اموال تاریخی-فرهنگی، جرم مطلق است. اما اگر فرض کنیم که منظور، شروع به جرم سرقت اموال تاریخی است و نتیجه (کشف مال) حاصل نشده، عمل وی شروع به جرم محسوب می‌شود.",4
92,"براساس ماده 534 قانون مجازات اسلامی (بخش تعزیرات)، هر یک از کارمندان و مسئولان دولتی که در اجرای وظیفه خود در احکام یا تقریرات یا نوشته‌ها و اسناد و سجلات و دفاتر و غیره، مرتکب جعل مفادی (تغییر حقیقت) شوند، در حکم جعل اسناد رسمی است.",3
93,"این مورد مصداق خطای در هدف است (ماده 294 قانون مجازات اسلامی). اگر «ج» محقون‌الدم باشد، قتل عمدی محسوب می‌شود (زیرا قصد فعل نوعاً کشنده را داشته است). اگر «ج» مهدورالدم باشد، خونش هدر است (زیرا قصد قتل محقون‌الدم را داشته و فعل به مهدورالدم اصابت کرده است).",1
94,"تولید و ارسال بدافزار برای تحصیل اطلاعات سیستم قربانی، مصداق سرقت رایانه‌ای (تحصیل داده‌ها به طور غیرمجاز) است (ماده 734 قانون مجازات اسلامی). همچنین، اگر بدافزار به طور پنهانی داده‌ها را در حین انتقال یا پردازش رهگیری کند، شنود غیرمجاز نیز محقق می‌شود (ماده 730).",3
95,"بیعانه دریافتی به عنوان بخشی از ثمن قرارداد، مال امانی محسوب نمی‌شود. عدم انجام کار و عدم استرداد پول، تخلف قراردادی است و نه خیانت در امانت. همچنین، چون منشأ مال، جرم نبوده است، پولشویی نیز محقق نشده است.",2
96,"قاضی با تغییر عمدی میزان خسارت در صورتجلسه (که سند رسمی است)، مرتکب جعل مفادی (تحریف حقیقت در محتوای سند) شده است (ماده 534 قانون مجازات اسلامی).",1
97,"انتقال منافع ملک خود به دیگری پس از اجاره، صرفاً تخلف قراردادی است و مصداق انتقال مال غیر (که در حکم کلاهبرداری است) محسوب نمی‌شود، زیرا مالک حق انتقال منافع را دارد، مگر اینکه این حق سلب شده باشد.",2
98,"توبه (ماده 114 قانون مجازات اسلامی) مربوط به شخص حقیقی است و در صورت احراز ندامت و اصلاح، دادگاه می‌تواند مجازات شخص حقیقی را تخفیف دهد. اما توبه نماینده قانونی، تأثیری بر مسئولیت و مجازات شخص حقوقی ندارد.",4
99,"چون محکومیت اول (تعلیق شده) قطعی نشده و اجرای مجازات آن شروع نشده است، تکرار جرم محقق نمی‌شود. همچنین، طبق ماده 91 قانون مجازات اسلامی، دادگاه می‌تواند مجازات نوجوانان را تخفیف دهد.",1
100,"پدر مرتکب دو عمل مجرمانه مستقل شده است: 1. جعل سند رسمی (جعل). 2. فروش مال غیر (ملک همسر) به فرزند که در حکم کلاهبرداری است. این دو جرم مستقل، مشمول تعدد مادی هستند.",4
101,"قتل غیرعمدی ناشی از تصادفات رانندگی، مجازات قانونی آن دیه و حبس تعزیری درجه 7 است. این جرم در صلاحیت دادگاه کیفری دو است (ماده 340 قانون آیین دادرسی کیفری).",2
