idx,explanation,model_predict
11,"تعلیق در مرحله انعقاد و اجرای عقد، هر دو به این معناست که اثر عقد تا رفع تعلیق جریان نمی‌یابد و اثر عقد پس از تحقق معلق‌علیه جریان پیدا می‌کند. اما تعلیق ممکن است ناشی از حکم قانون یا دادگاه باشد، نه صرفاً اراده طرفین. بنابراین، گزاره ""در هر دو، تعلیق ناشی از اراده است"" مطلقاً صحیح نیست.",2
12,"اجل برای انجام تعهدات قراردادی می‌تواند ناشی از اراده طرفین قرارداد، حکم دادگاه (مانند ماده 279 ق.م) یا حکم قانون خاص باشد.",4
13,"ایقاع می‌تواند مملک باشد، مانند ابراء (که موجب تملیک ذمه مدیون می‌شود) یا وقف. بنابراین، گزاره ""عقد می تواند مملک باشد اما ایقاع هیچگاه مملک نیست"" نادرست است.",1
14,"طبق قانون روابط موجر و مستأجر 1376، مستأجر صاحب سرقفلی حق انتقال سرقفلی خویش به غیر را دارد مگر اینکه در ضمن عقد اجاره این حق از وی سلب شده باشد (ماده 6 قانون).",4
15,"نقل از آثار انتشار یافته برای مقاصد علمی، ادبی و آموزشی مجاز است، اما مشروط به ذکر منبع و عدم تجاوز از حد متعارف و عدم لطمه به حقوق اقتصادی پدیدآورنده است. قید ""بدون هیچ قید و شرطی"" نادرست است.",2
16,"اگرچه وکالتنامه اختیار وسیعی به وکیل داده است، اما وکیل موظف است در حدود مصلحت موکل عمل کند (ماده 667 ق.م). فروش به یک سوم قیمت عرفی، نقض فاحش غبطه موکل است و معامله غیر نافذ بوده و با رد موکل (ب) باطل می‌شود.",1
17,حق رد ترکه یک حق شخصی است و قابل انتقال به وراث نیست (ماده 844 ق.م). همچنین رد ترکه باید مطلق باشد.,2
18,"زوجه 1/8 سهم می‌برد و 7/8 برای جنین ذخیره می‌شود. چون جنین بلافاصله فوت می‌کند، سهم او به ورثه جنین (مادر و خواهر و برادر متوفی) می‌رسد. با توجه به سادگی گزینه‌ها، محتمل‌ترین تفسیر این است که سهم 7/8 به ورثه طبقه دوم پدر (خواهر و برادر) می‌رسد و سهم 1/8 زوجه ثابت می‌ماند.",2
19,"وقتی متعهد به جای مال معین، مال دیگری را با قبول متعهدله وفای به عهد می‌کند، ماهیت این عمل، معاوضه یا بیع یا صلح است که در مقام وفای به عهد صورت گرفته است.",2
20,"اگر مستعیر مال عاریه را در خطر ببیند و به مالک دسترسی نداشته باشد، برای احتراز از خطر می‌تواند آن را به دیگری بسپارد (ماده 634 ق.م).",4
21,"اثر ابطال آیین‌نامه‌ها توسط هیئت عمومی دیوان عدالت اداری، اثر قهقرایی (از زمان تصویب) دارد، مگر اینکه در رأی تصریح شده باشد که اثر آن از زمان صدور رأی جاری است.",3
22,"اگر دو نفر از داوران اختیار صلح داشته باشند و رأی صادره مبتنی بر صلح باشد، موافقت آن دو نفر کافی است و رأی قابل ابطال نیست، زیرا در واقع یک عقد صلح است.",1
23,"اگر دیوان عالی کشور عدم صحت سند مستند حکم را احراز کند، حکم را نقض کرده و پرونده را به دادگاه هم‌عرض ارجاع می‌دهد تا مجدداً رسیدگی شود (ماده 580 ق.آ.د.م).",3
24,"اعتراض ثالث طاری در صورتی مسموع است که ثابت شود حقوقی که اساس و مأخذ اعتراض است، قانوناً ساقط نشده باشد (ماده 426 ق.آ.د.م).",1
25,"طبق قانون شوراهای حل اختلاف 1402، دادگاه صلح ملزم به رعایت اصول دادرسی است اما رعایت تشریفات دادرسی الزامی نیست. دادگاه عمومی حقوقی ملزم به رعایت هر دو است.",2
26,"تحریر ترکه، مهر و موم و رفع آن، از امور مربوط به ترکه است که در صلاحیت دادگاه خانواده قرار دارد.",3
27,"اگر شکایات منشأ و مبنای واحد نداشته باشند یا دیوان نتواند در یک دادرسی به آنها رسیدگی کند، موارد باید تفکیک و جداگانه رسیدگی شوند. در غیر این صورت، رسیدگی توأم امکان‌پذیر است.",2
28,"طبق ماده 71 ق.آ.د.م، گواهی وزارت امور خارجه فقط در صورتی لازم نیست که ایران با کشور محل تنظیم سند قرارداد تعاون قضایی داشته باشد.",3
29,"مهلت اعتراض به نظریه کارشناس 3 روز از تاریخ ابلاغ اخطار وصول نظریه است و مهلت اعتراض به نظریه ارزیاب 3 روز از تاریخ ابلاغ نظریه است. با توجه به گزینه‌ها، گزینه 3 که تفکیک زمانی را ذکر کرده، محتمل‌ترین پاسخ مورد نظر طراح است (با فرض وجود اشتباه در ذکر 7 روز برای کارشناس).",3
30,"طبق ماده 331 ق.آ.د.م، احکام صادره از دادگاه تجدیدنظر راجع به اصل نکاح، فسخ آن، طلاق و نسب قابل فرجام است.",2
31,"اگر محکوم‌علیه پس از تجدیدنظرخواهی بخواهد یکی از تجدیدنظرخواندگان را از دادرسی خارج کند، این امر باید در دادگاه تجدیدنظر که صلاحیت رسیدگی به تجدیدنظرخواهی را دارد، مطرح شود (ماده 356 ق.آ.د.م).",1
32,"در صورت اعاده دادرسی و بلااثر شدن حکم خلع ید، عملیات اجرایی باید اعاده شود و این امر به دستور دادگاه اجرا کننده حکم قبلی صورت می‌گیرد و خسارت تخریب نیز باید جبران شود (ماده 426 ق.آ.د.م).",1
33,"طبق ماده 215 ق.آ.د.م، اگر سندی عادی مورد انکار قرار گیرد و ابراز کننده آن در همان جلسه اصل سند را حاضر نکند، دادگاه سند را از عداد دلایل خارج می‌کند.",3
34,"طبق ماده 54 ق.ا.ا.م، در بازداشت اموال منقول، باید صورت‌برداری، ارزیابی و سپردن به حافظ صورت گیرد. اگر طرفین توافق نکنند، دادگاه حافظی معتمد تعیین می‌کند که می‌تواند هر شخصی باشد.",4
35,"طبق ماده 231 ق.آ.د.م، اگر گواهان احضار شده حاضر نشوند، دادگاه می‌تواند دوباره احضار کند یا جلسه را تجدید نماید و در صورت حضور، تشخیص ارزش و تأثیر گواهی با دادگاه است.",1
36,"احکام دادگاه صلح ابتدا در دادگاه عمومی حقوقی تجدیدنظرخواهی می‌شوند و فرجام‌خواهی تنها نسبت به احکام دادگاه تجدیدنظر امکان‌پذیر است. بنابراین، فرجام‌خواهی مستقیم از حکم دادگاه صلح وجود ندارد.",1
37,"طبق ماده 426 ق.آ.د.م، در محکوم به غیرمالی، اجرای حکم با صدور قرار قبولی اعاده دادرسی متوقف می‌شود. در محکوم به مالی، اجرای حکم متوقف می‌شود مشروط بر اینکه محکوم‌علیه تأمین دهد.",2
38,"اگر رفع نقص هزینه دادرسی دیرتر از موعد مقرر انجام شود، دادگاه بدوی باید قرار رد دادخواست صادر می‌کرد. دادگاه تجدیدنظر موظف است این ایراد شکلی اساسی را تصحیح کرده و با صدور قرار رد دادخواست نخستین، حکم را فسخ کند.",3
39,اختلاف صلاحیت بین دادگاه‌های هم‌رتبه در یک استان توسط دادگاه تجدیدنظر همان استان حل می‌شود (ماده 29 ق.آ.د.م).,3
40,"وضعیت حکم برای الف (ابلاغ واقعی، غایب) -> غیابی. ب (ابلاغ واقعی، حاضر) -> حضوری. ج (ابلاغ قانونی، غایب) -> غیابی. ترتیب (الف، ب، ج): غیابی، حضوری، غیابی. با توجه به ساختار گزینه‌ها، گزینه 3 (ح، غ، غ، ح) نزدیک‌ترین ساختار را دارد اگر ترتیب خواهان، الف، ب، ج باشد و خواهان (حاضر) حضوری تلقی شود.",3
41,"عدم مطالبه باقیمانده مبلغ اسمی سهام توسط مدیران، تخلف از وظایف قانونی است و موجب مسئولیت جبران خسارت برای هیئت مدیره در برابر شرکت می‌شود (ماده 142 لایحه اصلاحی قانون تجارت).",1
42,"طبق ماده 129 لایحه اصلاحی قانون تجارت، انتخاب یک شخص به عضویت هیئت مدیره در چند شرکت ممنوع است، مگر در شرکت‌هایی که تمام یا بخشی از سرمایه آن متعلق به دولت یا نهادهای عمومی غیردولتی باشد که در آن صورت ممنوعیت فقط در مورد مدیرعاملی وجود دارد.",2
43,"اگر مطالبات طلبکاران به طور کامل پرداخت نشده باشد، اموال کشف شده پس از فروش به مزایده، بین طلبکاران تقسیم می‌شود (ماده 544 ق.ت).",2
44,ثبت نام در دفتر ثبت تجاری اماره (نشانه) تاجر بودن شخص است و قابل انکار است و قاضی را ملزم به پذیرش قطعی تاجر بودن نمی‌کند (ماده 10 ق.ت).,3
45,اضافه ارزش سهام (صرف سهام) باید به یکی از اندوخته‌ها (قانونی یا اختیاری) منتقل شود و قابل تقسیم نقدی بین سهامداران نیست (ماده 166 لایحه اصلاحی ق.ت).,4
46,"دلالی که در نفس معامله منتفع است و این موضوع را به آمر اطلاع نمی‌دهد، علاوه بر مسئولیت جبران خسارت وارده به آمر، در اجرای تعهد نیز با آمر متضامناً مسئول است (ماده 361 ق.ت).",1
47,"در صورت مفقود شدن برات قبول شده که در چند نسخه صادر شده است، دارنده می‌تواند با ارائه نسخه دیگر برات (که قبول شده است) اقدام کند و نیازی به ضامن یا دخالت دادگاه برای صدور سند جدید نیست (ماده 295 ق.ت).",3
48,"انتخاب کارمند رسمی دولت به عنوان عضو هیئت مدیره شرکت سهامی خصوصی، در صورتی که شرایط قانونی رعایت نشود، موجب بطلان مصوبه مجمع عمومی است و هر ذی‌نفعی می‌تواند ابطال آن را از دادگاه درخواست کند (ماده 127 لایحه اصلاحی ق.ت).",1
49,"عزل بازرس اصلی بدون تعیین جانشین، مصوبه‌ای است که رعایت مقررات قانونی در خصوص تشکیل شرکت را نقض می‌کند و هر ذی‌نفعی می‌تواند ابطال آن را از دادگاه تقاضا کند (ماده 147 لایحه اصلاحی ق.ت).",1
50,"طبق ماده 200 لایحه اصلاحی قانون تجارت، در صورت تبدیل شرکت تضامنی به شرکت سهامی، شرکای سابق در قبال دیون شرکت تا زمان تبدیل، مسئولیت تضامنی خود را حفظ می‌کنند.",3
51,"برای انتشار اعلامیه پذیره‌نویسی شرکت سهامی عام با سرمایه بالا، نیاز به موافقت سازمان بورس و اوراق بهادار و اجازه انتشار از مرجع ثبت شرکت‌ها است.",3
52,"در شرکت سهامی، مسئولیت سهامدار محدود به میزان سهم اوست. بنابراین ورشکستگی سهامدار تأثیری بر وضعیت شرکت سهامی ندارد (ماده 141 لایحه اصلاحی ق.ت).",2
53,"در مورد چک، شرط مربوط به معامله اصلی در برابر دارنده بلافصل (که با صادرکننده رابطه قراردادی دارد) قابل استناد است، اما در برابر دارنده بعدی که با حسن نیت و بدون اطلاع از شرط چک را دریافت کرده، قابل استناد نیست.",1
54,"گزاره 1 نادرست است. اگر چک برای امور غیر تجاری صادر شود، مزایای قانونی سند تجاری (مانند قابلیت صدور اجرائیه مستقیم) زایل می‌شود و مشمول مقررات چک عادی می‌گردد.",1
55,"خسارت تأخیر تأدیه چک بر اساس نرخ بهره تعیین شده توسط بانک مرکزی محاسبه می‌شود، نه بر اساس شاخص ماهیانه تورم.",4
56,"حکم ورشکستگی پس از صدور، قابل فرجام است (ماده 434 ق.ت)، بنابراین قطعی نیست و اجرای آن موقت است. گزاره 2 که حکم را قطعی می‌داند، نادرست است.",2
57,"اعمال حقوقی که موجب تصرف یا انتقال اموال ورشکسته شود، پس از صدور حکم ورشکستگی نافذ نیست (ماده 438 ق.ت). فروش اتومبیل متعلق به ورشکسته (که در نام اوست) نافذ نیست.",2
58,"طبق ماده 250 قانون تجارت، در صورت اختلاف بین مبلغ به حروف و عدد، مبلغ مندرج به حروف معتبر است.",2
59,"گواهینامه موقت سهم، سندی است که بیانگر تعداد سهام دارنده آن در شرکت است و قابل معامله می‌باشد (ماده 39 لایحه اصلاحی ق.ت).",2
60,"طبق ماده 470 قانون تجارت، طلبکاران ظرف 10 روز می‌توانند به رد طلب یا حق رجحان خود یا قبول طلب یا حق رجحان دیگری اعتراض کنند.",2
81,"طبق ماده 6 قانون مجازات اسلامی، اگر جرمی در خارج از ایران واقع شده و محکوم‌علیه در آنجا مجازات شده باشد، در ایران مجدداً محاکمه و مجازات نمی‌شود (اصل منع محاکمه مجدد).",2
82,"عمل سرباز برای حفظ اطلاعات نظامی مهم‌تر از حفظ اموال نظامی است و این عمل تحت عنوان اجرای قانون اهم (ماده 156 ق.م.ا) که همان دفاع مبتنی بر ضرورت است، قابل توجیه است.",3
83,خیانت در امانت (ماده 674 ق.م.ا) از جرایم قابل گذشت است. کلاهبرداری و جعل از جرایم غیرقابل گذشت هستند.,1
84,شخص حقوقی برای جرایم غیرعمد مسئول است و مجازات‌های قابل اعمال بر آن شامل جزای نقدی (مجازات) و دیه (به عنوان جبران خسارت بدنی) است (ماده 14 ق.م.ا).,1
85,"مجازات تبعی ثابت است، در حالی که مجازات تکمیلی دارای حداقل و حداکثر است و میزان آن ثابت نیست.",2
86,"مصادره اموال (ماده 23 ق.م.ا) یک مجازات تعزیری است که در صورت تخفیف مجازات اصلی، تبدیل به مجازات دیگر نمی‌شود.",1
87,"آزادی مشروط (ماده 58 ق.م.ا) نهادی است که پس از تحمل بخشی از محکومیت اعطا می‌شود و سابقه محکومیت مؤثر مانع اصلی آن نیست، برخلاف تعویق صدور حکم.",3
88,"طبق ماده 46 ق.م.ا، اگر مرتکب در مدت تعویق صدور حکم به دستورات دادگاه پایبندی کامل داشته باشد، دادگاه حکم به معافیت از کیفر صادر می‌کند.",1
89,"در تعدد جرایم عمدی (ب، ج، د)، حداکثر مجازات تا یک ششم حداکثر مجازات شدیدترین جرم تشدید می‌شود. جرم غیرعمد (الف) جداگانه مجازات می‌شود، معمولاً حداقل مجازات مگر اینکه تشدید لازم باشد.",2
90,"طبق قانون حمایت از بزه دیدگان ناشی از اسیدپاشی، معاون جرم مجازات مرتکب اصلی را خواهد داشت.",2
91,"حفاری به قصد به دست آوردن اموال تاریخی، اگرچه به نتیجه نرسد، چون مرتکب شروع به اجرای قصد مجرمانه کرده است، مشمول شروع به جرم است (ماده 41 ق.م.ا).",4
92,"کارمند ثبت که با علم به خلاف واقع بودن وضعیت پلاک ثبتی، تصرفات مالکانه را تأیید می‌کند، مرتکب جعل مادی اسناد رسمی شده است، زیرا در مقام انجام وظیفه سند رسمی را تغییر داده است.",3
93,"اگر قصد قتل شخص محقون‌الدم باشد و به شخص محقون‌الدم دیگری اصابت کند، قصد قتل به مقتول منتقل شده و قتل عمدی است. اگر به شخص مهدورالدم اصابت کند، قتل شبه عمد محسوب می‌شود.",1
94,"ضبط صدا به صورت مخفیانه، شنود غیرمجاز است. ارسال تمام اطلاعات سیستم قربانی به فرستنده، مصداق سرقت رایانه‌ای است.",3
95,"اخذ بیعانه و سپس امتناع عمدی از انجام کار و تصرف در مبلغ دریافتی، مصداق خیانت در امانت است (ماده 674 ق.م.ا).",4
96,"درج عمدی رقم اشتباه در صورت‌جلسه رسمی دادگاه توسط قاضی، مصداق جعل مادی در اسناد رسمی است (ماده 544 ق.م.ا).",3
97,"کلاهبرداری مستلزم بردن مال غیر است. در گزینه 2، شخص منافع مال خود را منتقل می‌کند که رکن اصلی کلاهبرداری محقق نیست.",2
98,"طبق ماده 175 ق.م.ا، توبه و ندامت مرتکب جرم رشاء می‌تواند موجب تخفیف مجازات شخص حقیقی شود، اما این تخفیف شامل مجازات شخص حقوقی (که معمولاً جزای نقدی است) نمی‌شود.",4
99,"طبق قانون مجازات اسلامی، اگر فردی در مدت تعلیق اجرای حکم محکومیت قبلی، مرتکب جرم جدید شود، مشمول نهادهای ارفاقی برای جرم دوم نخواهد بود (ماده 137 ق.م.ا).",4
100,"پدر مرتکب جعل، استفاده از سند مجعول و بردن مال فرزند شده است. این اعمال مصداق تعدد مادی جرایم است که هر یک به طور جداگانه قابل تعقیب هستند.",3
101,"رسیدگی به جرایم ناشی از تصادفات رانندگی که منجر به صدمه بدنی یا فوت شود، در صلاحیت دادگاه کیفری دو است (ماده 306 ق.آ.د.م).",2
102,"طبق ماده 427 ق.آ.د.م، آرای صادره در خصوص جنبه عمومی جرایم تعزیری در صورتی که مجازات قانونی آن درجه 6 یا بیشتر باشد، قابل تجدیدنظر است.",2
103,"در جرایم مشهود، جلب متهم بدون ارسال احضاریه امکان‌پذیر است. اگرچه برای جرایم مستوجب سلب حیات (جنایات) سخت‌گیری بیشتری وجود دارد، اما در صورت مشهود بودن، جلب اولیه مجاز است. با این حال، در عمل، جرایم مستوجب سلب حیات به دلیل شدت، ممکن است رویه‌های سخت‌گیرانه‌تری برای جلب رسمی داشته باشند.",1
104,اختلاف صلاحیت بین دادگاه‌های هم‌رتبه در یک استان توسط دادگاه تجدیدنظر همان استان حل و فصل می‌شود (ماده 29 ق.آ.د.م).,1
105,"جرایمی که توسط ضابطان دادگستری در مقام انجام وظیفه ارتکاب می‌یابد، در صلاحیت دادگاه نظامی دو است (مگر جنایات سنگین که در صلاحیت نظامی یک است).",4
106,"در جرایم غیرقابل گذشت، اگر شاکی پس از صدور کیفرخواست گذشت قطعی کند، دادستان باید از کیفرخواست عدول کرده و قرار موقوفی تعقیب صادر نماید (ماده 74 ق.آ.د.م).",2
107,"طبق ماده 135 ق.آ.د.م، دادگاه رسیدگی کننده به امور حقوقی، در صورتی که رأی دادگاه کیفری قطعی و مؤثر در ماهیت امر حقوقی باشد، ملزم به تبعیت از آن است.",2
108,"در جرایم مشهود، شهروندان می‌توانند برای جلوگیری از فرار متهم اقدام کنند (ماده 46 ق.آ.د.م). اما در جرایم سیاسی و مطبوعاتی، دخالت مستقیم شهروندان ممکن است محدود شده باشد.",4
109,"طبق ماده 57 ق.آ.د.م، قرار تأمین منتهی به بازداشت متهم باید در همان روز صدور به نظر دادستان برسد.",4
110,"ضبط اموال یا اشیا می‌تواند توسط بازپرس، دادستان یا دادگاه صادر شود، بسته به مرحله دادرسی.",2
111,"رسیدگی به جرایم نوجوانان (زیر 18 سال) در صلاحیت دادگاه اطفال و نوجوانان است، اما اگر جرم در صلاحیت ذاتی دادگاه انقلاب باشد، دادگاه انقلاب با رعایت مقررات نوجوانان رسیدگی می‌کند (شعبه ویژه).",2
112,"قرار عدم صلاحیت صادره از دادگاه کیفری یک، از سوی دادستان و شاکی یا مدعی خصوصی قابل تجدیدنظر است (ماده 338 ق.آ.د.م).",2
113,"طبق ماده 514 ق.م.ا، ابتلا به جنون محکوم‌علیه پس از صدور حکم قطعی، موجب تعویق اجرای حکم تا زمان افاقه (بهبودی) است.",1
114,"طبق ماده 307 قانون آیین دادرسی کیفری نوجوانان، تعیین وکیل تسخیری در جرایم تعزیری درجه 8 الزامی نیست.",1
115,"طبق ماده 237 ق.آ.د.م، در جرایم غیرعمد، صدور قرار کفالت و وثیقه جایز نیست، در صورتی که به تشخیص مقام قضایی تضمین حقوق بزه دیده به طریق دیگر امکان‌پذیر باشد.",2
116,"طبق ماده 245 ق.آ.د.م، نظارت قضایی می‌تواند جایگزین بازداشت در جرایم تعزیری درجه 6، 7 و 8 شود، در صورت تأمین خسارات.",1
117,"درخواست سوگند از طرف مقابل، از اختیارات وکیل است و نیازی به تصریح در وکالت‌نامه ندارد. بنابراین گزاره 2 نادرست است.",2
118,"اگر دیوان عالی کشور به یکی از جهات قانونی متهم را قابل تعقیب نداند (مانند فقدان عنصر قانونی)، رأی صادر شده نقض بلا ارجاع می‌شود (ماده 580 ق.آ.د.م).",2
119,"دادستان کل کشور طبق ماده 477 ق.آ.د.م، در خصوص احکام مربوط به حقوق عامه، در صورتی که حکم را خلاف شرع بین تشخیص دهد، مراتب را جهت اعمال ماده 477 به رئیس قوه قضائیه اعلام می‌کند.",1
120,"در جرایم قابل گذشت، با گذشت شاکی، تعقیب متوقف می‌شود و حق تجدیدنظرخواهی دادستان نسبت به حکم برائت (که مربوط به جنبه عمومی است) نیز منتفی می‌شود، زیرا اساساً تعقیب متوقف شده است.",2
121,"طبق اصل 52 قانون اساسی، ابتکار بودجه کل کشور با دولت است.",2
122,"طبق اصل 45 قانون اساسی، انفال شامل مراتع، جنگل‌ها، بیشه‌ها، نیزارها، بادیه‌ها، زمین‌های موات، منابع طبیعی، معادن، گاز، نفت و... است.",4
123,"طبق اصل 158 قانون اساسی، تغییر سمت یا محل خدمت قضات پس از مشورت با شورای عالی قضایی امکان‌پذیر است.",3
124,"طبق اصل 171 قانون اساسی، رسیدگی به دعاوی مربوط به ثروت‌های نامشروع موضوع اصل 49 قانون اساسی باید به صورت خارج از نوبت انجام گیرد.",2
125,"طبق اصل 166 قانون اساسی، احکام دادگاه‌ها باید علنی صادر شود.",1
126,ممنوعیت تبذیر و اسراف در چارچوب اصول اقتصادی نظام جمهوری اسلامی ایران مورد اشاره قرار گرفته است (اصل 43 قانون اساسی).,2
127,"طبق اصل 85 قانون اساسی، مجلس می‌تواند تصویب دائمی اساسنامه سازمان‌های دولتی را به دولت تفویض کند و تشخیص عدم مغایرت مصوبات دولت با قوانین با رئیس مجلس است.",3
128,آزادی بیان (ماده 25) و آزادی اجتماعات (ماده 27) مشروط به رعایت قانون و حقوق دیگران است. آزادی عقیده (ماده 23) مطلق است.,3
129,"طبق اصل 138 قانون اساسی، مصوبات هیئت وزیران (دولت) نباید با متن و روح قوانین مغایرت داشته باشد.",4
130,"اصل 3 قانون اساسی بر لزوم رفع تبعیض در همه زمینه‌ها تأکید دارد و دسترسی به آموزش و بهداشت عمومی به صورت برابر، از مصادیق این اصل است.",3
131,"حق دادخواهی (اصل 34) یک حق اساسی است که سلب آن به درخواست خود شخص امکان‌پذیر نیست، اما حق داشتن وکیل (در مواردی که دفاع غیرالزامی است) قابل اسقاط است.",2
132,"دو درجه‌ای بودن رسیدگی، یک اصل قانونی است که در قوانین عادی ذکر شده، اما اصل 34 قانون اساسی به در دسترس بودن دادگاه، حق رجوع به دادگاه صلاحیت‌دار و ممنوعیت اجبار افراد به عدم مراجعه اشاره دارد.",3
133,"اگر شکایت همزمان در کمیسیون اصل 90 و دیوان عدالت اداری مطرح شود، دیوان عدالت اداری به عنوان مرجع قضایی تخصصی رسیدگی به مصوبات، رسیدگی را ادامه می‌دهد و کمیسیون اصل 90 معمولاً در مواردی که موضوع مستقیماً در صلاحیت دیوان است، رسیدگی خود را متوقف می‌کند.",3
134,"اعمال قوه مقننه از طریق مجلس شورای اسلامی و در موارد خاص (مانند مسائل بسیار مهم سیاسی، اقتصادی و فرهنگی) از راه همه‌پرسی نیز ممکن است. همچنین مجمع تشخیص مصلحت نظام در مواردی اعمال قوه مقننه می‌کند.",3
135,"طبق اصل 52 قانون اساسی، دادن وام و کمک‌های بدون عوض خارجی منوط به تصویب مجلس است. تغییر خطوط مرزی (اصل 14 سیاست خارجی) و الحاق به معاهدات بین‌المللی (اصل 77) نیز نیاز به تصویب مجلس دارد. صلح دعاوی مربوط به اموال دولتی نیز نیاز به تصویب مجلس دارد (اصل 132).",2
136,"کارمند دولت حتی در مرخصی بدون حقوق، تابع مقررات استخدامی خود است و مشمول ممنوعیت جمع مشاغل است.",3
137,"اقدام شرکت با اختراع و فروش عمده که منجر به بیکاری گسترده شود، مغایر با اصل 40 قانون اساسی است که اعمال حق را مشروط به عدم اضرار به غیر می‌داند.",1
138,"استخدام کارشناسان خارجی یک امر حساس است و تفویض اختیار کلی در طول برنامه پنج ساله به دولت، به دلیل عدم رعایت اصل 77 و عدم تعیین ضرورت توسط مجلس، اطلاق آن مغایر قانون اساسی است.",3
139,"اگر مصوبه شورا مغایر با قوانین و حدود اختیارات شورا باشد، فرماندار موظف است مغایرت را به هیئت تطبیق مصوبات اعلام نماید.",1
140,"اصل 168 قانون اساسی شرایط، اختیارات و نحوه انتخاب هیئت منصفه را به قانون عادی واگذار کرده است. نحوه نظارت بر هیئت منصفه مستقیماً در قانون اساسی تصریح نشده است.",4
