law_code	law_name	book	section	chapter	article_number	text
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل سوم- قلمرو اجرای قوانین جزایی در زمان	11	ماده 11- قوانین زیر نسبت به جرایم سابق بر وضع قانون، فوراً اجراء می‌شود: الف- قوانین مربوط به تشکیلات قضایی و صلاحیت ب- قوانین مربوط به ادله اثبات دعوی تا پیش از اجرای حکم پ- قوانین مربوط به شیوه دادرسی ت- قوانین مربوط به مرور زمان تبصره- در صورتی که در مورد بند (ب) حکم قطعی صادر شده باشد، پرونده برای بررسی به دادگاه صادرکننده حکم قطعی ارسال می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل چهارم- قانونی بودن جرایم، مجازات ها و دادرسی کیفری	12	ماده 12- حکم به مجازات یا اقدام تأمینی و تربیتی و اجرای آنها باید از طریق دادگاه صالح، به موجب قانون و با رعایت شرایط و کیفیات مقرر در آن باشد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل چهارم- قانونی بودن جرایم، مجازات ها و دادرسی کیفری	13	ماده 13- حکم به مجازات یا اقدام تأمینی و تربیتی و اجرای آنها حسب مورد نباید از میزان و کیفیتی که در قانون یا حکم دادگاه مشخص شده است تجاوز کند و هرگونه صدمه و خسارتی که از این جهت حاصل شود، در صورتی که از روی عمد یا تقصیر باشد حسب مورد موجب مسؤولیت کیفری و مدنی است و در غیر این صورت، خسارت از بیت‌المال جبران می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	14	ماده 14- مجازات‌های مقرر در این قانون چهار قسم است: الف- حد ب- قصاص پ- دیه ت- تعزیر تبصره- چنانچه رابطه علیت بین رفتار شخص حقوقی و خسارت وارد شده احراز شود دیه و خسارت، قابل مطالبه خواهد بود اعمال مجازات تعزیری بر اشخاص حقوقی مطابق ماده (20) خواهد بود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	15	ماده 15- حد مجازاتی است که موجب، نوع، میزان و کیفیت اجرای آن در شرع مقدس، تعیین شده است.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	16	ماده 16- قصاص مجازات اصلی جنایات عمدی بر نفس، اعضاء و منافع است که به شرح مندرج در کتاب سوم این قانون اعمال می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	17	ماده 17- دیه اعم از مقدر و غیرمقدر، مالی است که در شرع مقدس برای ایراد جنایت غیرعمدی بر نفس، اعضاء و منافع و یا جنایت عمدی در مواردی که به هر جهتی قصاص ندارد به موجب قانون مقرر می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	18	ماده 18- تعزیر مجازاتی است که مشمول عنوان حد، قصاص یا دیه نیست و به موجب قانون در موارد ارتکاب محرمات شرع-ی یا نقض مقررات حکومتی تعیین و اعمال می‌گردد. نوع، مقدار، کیفیت اجراء و مقررات مربوط به تخفیف، تعلیق، سقوط و سایر احکام تعزیر به موجب قانون تعیین می‌شود. دادگاه در صدور حکم تعزیری، با رعایت مقررات قانونی، موارد زیر را مورد توجه قرار می‌دهد: الف- انگیزه مرتکب و وضعیت ذهنی و روانی وی حین ارتکاب جرم ب- شیوه ارتکاب جرم، گستره نقض وظیفه و نتایج زیان بار آن پ- اقدامات مرتکب پس از ارتکاب جرم ت- سوابق و وضعیت فردی، خانوادگی و اجتماعی مرتکب و تأثیر تعزیر بر وی تبصره (الحاقی به موجب قانون کاهش مجازات حبس تعزیری)- چنانچه دادگاه در حکم صادره مجازات حبس را بیش از حداقل مجازات مقرر در قانون تعیین کند، باید مبتنی بر بندهای مقرر در این ماده و یا سایر جهات قانونی، علت صدور حکم به بیش از حداقل مجازات مقرر قانونی را ذکر کند. عدم رعایت مفاد این تبصره موجب مجازات انتظامی درجه چهار می‌باشد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	19	ماده 19- مجازات‌های تعزیری به هشت درجه تقسیم می‌شود: درجه 1 - حبس بیش از بیست و پنج سال - جزای نقدی بیش از یک میلیارد (1.000.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 9,200,000,000 ریال تعدیل شد. - مصادره کل اموال - انحلال شخص حقوقی درجه 2 - حبس بیش از پانزده تا بیست و پنج سال - جزای نقدی بیش از پانصد و پنجاه میلیون (550.000.000)ریال تا یک میلیارد (1.000.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 5,000,000,000 تا 9,200,000,000 ریال تعدیل شد. درجه 3 - حبس بیش از ده تا پانزده سال - جزای نقدی بیش از سیصد و شصت میلیون (360.000.000)ریال تا پانصد وپنجاه میلیون (550.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به3,300,000,000 تا 5,000,000,000 ریال تعدیل شد. درجه 4 - حبس بیش از پنج تا ده سال - جزای نقدی بیش از یکصد و هشتاد میلیون(180.000.000)ریال تا سیصد و شصت میلیون (360.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 1,650,000,000 تا 3,300,000,000 ریال تعدیل شد. - انفصال دائم از خدمات دولتی و عمومی درجه 5 - حبس بیش از دو تا پنج سال - جزای نقدی بیش از هشتاد میلیون (80.000.000)ریال تا یکصد و هشتاد میلیون (180.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به800,000,000 تا 1,650,000,000 ریال تعدیل شد. - محرومیت از حقوق اجتماعی بیش از پنج تا پانزده سال - ممنوعیت دایم از یک یا چند فعالیت شغلی یا اجتماعی برای اشخاص حقوقی - ممنوعیت دایم از دعوت عمومی برای افزایش سرمایه برای اشخاص حقوقی درجه 6 - حبس بیش از شش ماه تا دو سال - جزای نقدی بیش از بیست میلیون (20.000.000)ریال تا هشتاد میلیون (80.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 200,000,000 تا 800,000,000 ریال تعدیل شد. - شلاق از سی و یک تا هفتاد و چهار ضربه و تا نود و نه ضربه در جرایم منافی عفت - محرومیت از حقوق اجتماعی بیش از شش ماه تا پنج سال - انتشار حکم قطعی در رسانه ها - ممنوعیت از یک یا چند فعالیت شغلی یا اجتماعی برای اشخاص حقوقی حداکثر تا مدت پنج سال - ممنوعیت از دعوت عمومی برای افزایش سرمایه برای اشخاص حقوقی حداکثر تا مدت پنج سال - ممنوعیت از اصدار برخی از اسناد تجاری توسط اشخاص حقوقی حداکثر تا مدت پنج سال درجه 7 - حبس از نود و یک روز تا شش ماه - جزای نقدی بیش از ده میلیون (10.000.000) ریال تا بیست میلیون (20.000.000) ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 100,000,000 تا 200,000,000 ریال تعدیل شد. - شلاق از یازده تا سی ضربه - محرومیت از حقوق اجتماعی تا شش ماه درجه 8 - حبس تا سه ماه - جزای نقدی تا ده میلیون (10.000.000)ریال جزای نقدی مندرج در این ماده به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 100,000,000 ریال تعدیل شد. - شلاق تا ده ضربه تبصره 1- موارد محرومیت از حقوق اجتماعی همان است که در مجازات‌های تبعی ذکر شده است. تبصره 2- مجازاتی که حداقل آن منطبق بر یکی از درجات فوق و حداکثر آن منطبق با درجه بالاتر باشد، از درجه بالاتر محسوب می‌شود. تبصره 3- درصورت تعدد مجازات ها، مجازات شدیدتر و در صورت عدم امکان تشخیص مجازات شدیدتر، مجازات حبس ملاک است. همچنین اگر مجازاتی با هیچ یک از بندهای هشت گانه این ماده مطابقت نداشته باشد مجازات درجه هفت محسوب می‌شود. تبصره 4- مقررات این ماده و تبصره‌های آن تنها جهت تعیین درجه مجازات است و تأثیری در میزان حداقل و حداکثر مجازات‌های مقرر در قوانین جاری ندارد. تبصره 5- ضبط اشیاء و اموالی که در ارتکاب جرم به کار رفته یا مقصود از آن به کارگیری در ارتکاب جرم بوده است از شمول این ماده و بند (ب) ماده (20) خارج و در مورد آنها برابر ماده (215) این قانون عمل خواهد شد. در هر مورد که حکم به مصادره اموال صادر می‌شود باید هزینه‌های متعارف زندگی محکوم و افراد تحت تکفل او مستثنی شود. تبصره 6 (الحاقی به موجب قانون کاهش مجازات حبس تعزیری)- تمام حبس‌های ابد غیرحدی مقرر در قانون به حبس درجه یک تبدیل می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	20	ماده 20- در صورتی که شخص حقوقی بر اساس ماده (143) این قانون مسؤول شناخته شود، با توجه به شدت جرم ارتکابی و نتایج زیان بار آن به یک تا دو مورد از موارد زیر محکوم می‌شود، این امر مانع از مجازات شخص حقیقی نیست: الف- انحلال شخص حقوقی ب- مصادره کل اموال پ- ممنوعیت از یک یا چند فعالیت شغلی یا اجتماعی به طور دائم یا حداکثر برای مدت پنج سال ت- ممنوعیت از دعوت عمومی برای افزایش سرمایه به طور دائم یا حداکثر برای مدت پنج سال ث- ممنوعیت از اصدار برخی از اسناد تجاری حداکثر برای مدت پنج سال ج- جزای نقدی چ- انتشار حکم محکومیت به وسیله رسانه ها تبصره- مجازات موضوع این ماده، در مورد اشخاص حقوقی دولتی و یا عمومی غیردولتی در مواردی که اعمال حاکمیت می‌کنند، اعمال نمی‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	21	ماده 21- میزان جزای نقدی قابل اعمال بر اشخاص حقوقی حداقل دو برابر و حداکثر چهار برابر مبلغی است که در قانون برای ارتکاب همان جرم به وسیله اشخاص حقیقی تعیین می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل اول- مجازات‌های اصلی	22	ماده 22- انحلال شخص حقوقی و مصادره اموال آن زمانی اعمال می‌شود که برای ارتکاب جرم، به وجود آمده یا با انحراف از هدف مشروع نخستین، فعالیت خود را منحصراً در جهت ارتکاب جرم تغییر داده باشد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل دوم- مجازات‌های تکمیلی و تبعی	23	ماده 23- دادگاه می‌تواند فردی را که به حد، قصاص یا مجازات تعزیری محکوم کرده است، با رعایت شرایط مقرر در این قانون، متناسب با جرم ارتکابی و خصوصیات وی به یک یا چند مجازات از مجازات‌های تکمیلی بندها و تبصره‌های این ماده محکوم نماید. الف- اقامت اجباری در محل معین ب- منع از اقامت در محل یا محل‌های معین پ- منع از اشتغال به شغل، حرفه یا کار معین ت- انفصال از خدمات دولتی و عمومی ث- منع از رانندگی با وسایل نقلیه موتوری و یا تصدی وسایل موتوری ج- منع از داشتن دسته چک و یا اصدار اسناد تجارتی چ- منع از حمل سلاح ح- منع از خروج اتباع ایران از کشور خ- اخراج بیگانگان از کشور د- الزام به خدمات عمومی ذ- منع از عضویت در احزاب، گروه ها و دستجات سیاسی یا اجتماعی ر- توقیف وسایل ارتکاب جرم یا رسانه یا مؤسسه دخیل در ارتکاب جرم ز- الزام به یادگیری حرفه، شغل یا کار معین ژ- الزام به تحصیل س- انتشار حکم محکومیت قطعی تبصره 1- مدت مجازات تکمیلی بیش از دو سال نیست مگر در مواردی که قانون به نحو دیگری مقرر نماید. تبصره 2- چنانچه مجازات تکمیلی و مجازات اصلی از یک نوع باشد، فقط مجازات اصلی مورد حکم قرار می‌گیرد. تبصره 3- آیین نامه راجع به کیفیت اجرای مجازات تکمیلی ظرف شش ماه از تاریخ لازم الاجراء شدن این قانون توسط وزیر دادگستری تهیه می‌شود و به تصویب رییس قوه قضاییه می‌رسد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل دوم- مجازات‌های تکمیلی و تبعی	24	ماده 24- چنانچه محکوم طی مدت اجرای مجازات تکمیلی، مفاد حکم را رعایت ننماید، دادگاه صادرکننده حکم به پیشنهاد قاضی اجرای احکام برای بار اول مدت مجازات تکمیلی مندرج در حکم را تا یک سوم افزایش می‌دهد و در صورت تکرار، بقیه مدت محکومیت را به حبس یا جزای نقدی درجه هفت یا هشت تبدیل می‌کند. همچنین بعد از گذشتن نیمی از مدت مجازات تکمیلی، دادگاه می‌تواند با پیشنهاد قاضی اجرای حکم در صورت اطمینان به عدم تکرار جرم و اصلاح مجرم، نسبت به لغو یا کاهش مدت زمان مجازات تکمیلی وی اقدام کند.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل دوم- مجازات‌های تکمیلی و تبعی	25	ماده 25- محکومیت قطعی کیفری در جرایم عمدی، پس از اجرای حکم یا شمول مرور زمان، در مدت زمان مقرر در این ماده محکوم را از حقوق اجتماعی به عنوان مجازات تبعی محروم می‌کند: الف- هفت سال در محکومیت به مجازات‌های سالب حیات و حبس ابد از تاریخ توقف اجرای حکم اصلی ب- سه سال در محکومیت به قطع عضو، قصاص عضو در صورتی که دیه جنایت وارد شده بیش از نصف دیه مجنیٌ‌علیه باشد، نفی بلد و حبس تا درجه چهار پ- دو سال در محکومیت به شلاق حدی، قصاص عضو در صورتی که دیه جنایت وارد شده نصف دیه مجنی‌ٌعلیه یا کمتر از آن باشد و حبس درجه پنج تبصره 1- در غیر موارد فوق، مراتب محکومیت در پیشینه کیفری محکوم درج می‌شود لکن در گواهی‌های صادره از مراجع ذی‌ربط منعکس نمی‌گردد مگر به درخواست مراجع قضایی برای تعیین یا بازنگری در مجازات تبصره 2- در مورد جرایم قابل گذشت در صورتی که پس از صدور حکم قطعی با گذشت شاکی یا مدعی خصوصی، اجرای مجازات موقوف شود اثر تبعی آن نیز رفع می‌شود. تبصره 3- در عفو و آزادی مشروط، اثر تبعی محکومیت پس از گذشت مدت‌های فوق از زمان عفو یا اتمام مدت آزادی مشروط رفع می‌شود. محکوم در مدت زمان آزادی مشروط و همچنین در زمان اجرای حکم نیز از حقوق اجتماعی محروم می‌گردد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل دوم- مجازات‌های تکمیلی و تبعی	26	ماده 26- حقوق اجتماعی موضوع این قانون به شرح زیر است: الف- داوطلب شدن در انتخابات ریاست جمهوری، مجلس خبرگان رهبری، مجلس شورای اسلامی و شوراهای اسلامی شهر و روستا ب- عضویت در شورای نگهبان، مجمع تشخیص مصلحت نظام یا هیأت دولت و تصدی معاونت رییس جمهور پ- تصدی ریاست قوه قضاییه، دادستانی کل کشور، ریاست دیوان عالی کشور و ریاست دیوان عدالت اداری ت- انتخاب شدن یا عضویت در انجمن ها، شوراها، احزاب و جمعیت ها به موجب قانون یا با رأی مردم ث- عضویت در هیأت‌های منصفه و امناء و شوراهای حل اختلاف ج- اشتغال به عنوان مدیر مسؤول یا سردبیر رسانه‌های گروهی چ- استخدام و یا اشتغال در کلیه دستگاه‌های حکومتی اعم از قوای سه گانه و سازمان ها و شرکت‌های وابسته به آنها، صدا و سیمای جمهوری اسلامی ایران، نیروهای مسلح و سایر نهادهای تحت نظر رهبری، شهرداری ها و مؤسسات مأمور به خدمات عمومی و دستگاه‌های مستلزم تصریح یا ذکر نام برای شمول قانون بر آنها ح- اشتغال به عنوان وکیل دادگستری و تصدی دفاتر ثبت اسناد رسمی و ازدواج و طلاق و دفتریاری خ- انتخاب شدن به سمت قیم، امین، متولی، ناظر یا متصدی موقوفات عام د- انتخاب شدن به سمت داوری یا کارشناسی در مراجع رسمی ذ- استفاده از نشان‌های دولتی و عناوین افتخاری ر- تأسیس، اداره یا عضویت در هیأت مدیره شرکت‌های دولتی، تعاونی و خصوصی یا ثبت نام تجارتی یا مؤسسه آموزشی، پژوهشی، فرهنگی و علمی تبصره 1- مستخدمان دستگاه‌های حکومتی در صورت محرومیت از حقوق اجتماعی، خواه به عنوان مجازات اصلی و خواه مجازات تکمیلی یا تبعی، حسب مورد در مدت مقرر در حکم یا قانون، از خدمت منفصل می‌شوند. تبصره 2- هر کس به عنوان مجازات تبعی از حقوق اجتماعی محروم گردد پس از گذشت مواعد مقرر در ماده (25) این قانون اعاده حیثیت می‌شود و آثار تبعی محکومیت وی زائل می‌گردد مگر در مورد بندهای (الف)، (ب) و (پ) این ماده که از حقوق مزبور به طور دائمی محروم می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل سوم- نحوه تعیین و اعمال مجازات ها	27	ماده 27- مدت حبس از روزی آغاز می‌شود که محکوم، به موجب حکم قطعی لازم الاجراء حبس می‌گردد. در صورتی که فرد، پیش از صدور حکم به علت اتهام یا اتهاماتی که در پرونده مطرح بوده بازداشت شده باشد، مدت بازداشت قبلی در حکم محاسبه می‌شود. در صورتی که مجازات مورد حکم، شلاق تعزیری یا جزای نقدی باشد، هر روز بازداشت، معادل سه ضربه شلاق یا یک میلیون (1.000.000) ریال است. چنانچه مجازات متعدد باشد به ترتیب نسبت به حبس، شلاق و جزای نقدی محاسبه می‌گردد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل سوم- نحوه تعیین و اعمال مجازات ها	28	ماده 28- کلیه مبالغ مذکور در این قانون و سایر قوانین از تاریخ تصویب آنها در مورد تمام جرائم و تخلفات از جمله مجازات نقدی، به تناسب نرخ تورم اعلام شده از سوی بانک مرکزی، هر سه سال یک بار به پیشنهاد وزیر دادگستری و تصویب هیأت وزیران تعدیل و در مورد احکامی که بعد از آن صادر می‌شود، لازم الاجراء می‌گردد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل سوم- نحوه تعیین و اعمال مجازات ها	29	ماده 29- هرگاه بازداشت بدل از جزای نقدی توأم با مجازات حبس باشد بازداشت بدل از جزای نقدی از تاریخ اتمام حبس شروع می‌شود که از حداکثر مدت حبس مقرر در قانون برای آن جرم بیشتر نیست و در هر حال مدت بازداشت بدل از جزای نقدی نباید از سه سال تجاوز کند.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل سوم- نحوه تعیین و اعمال مجازات ها	30	ماده 30- منع از اشتغال به شغل، کسب، حرفه یا کار معین مستلزم لغو جواز کار یا پروانه کسب، حرفه یا کار است مشروط به این که جرم به سبب اشتغال به شغل، کسب، حرفه یا کار ارتکاب یابد یا آن اشتغال وقوع جرم را تسهیل نماید.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش دوم- مجازات ها	فصل سوم- نحوه تعیین و اعمال مجازات ها	31	ماده 31- منع از رانندگی و تصدی وسیله نقلیه موتوری مستلزم ابطال گواهینامه و ممنوعیت از درخواست مجدد است.
