question_number,category,question,options
11,حقوق مدنی,کدام مورد در خصوص تشابه و تفاوت تعلیق در مرحله انعقاد قرارداد و تعلیق در مرحله اجرای قرارداد صحیح نیست؟,1) در هر دو اثر عقد تا رفع تعلیق جریان پیدا نمی کند | 2) در هر دو، تعلیق ناشی از اراده است. | 3) در هر دو در صورت تحقق معلقعلیه یا رفع مانع اثر عقد جریان پیدا می کند . | 4) برخی از عقود نه در مرحله انعقاد و نه در مرحله اجراء تعلیق پذیر نیستند.
12,حقوق مدنی,أجل برای انجام تعهدات قراردادی ناشی از کدام یک از موارد زیر می تواند باشد؟,1) صرفا ناشی از اراده طرفین یا حکم دادگاه | 2) صرفاً ناشی از اراده طرفین | 3) صرفاً ناشی از اراده طرفین یا حکم دادگاه مستند به یک قانون خاص و برای یک نوع قرارداد خاص | 4) ناشی از اراده طرفین قرارداد، حکم دادگاه یا قانون خاص
13,حقوق مدنی,کدام مورد در خصوص تفاوت و تشابه عقد و ایقاع صحیح نیست ؟,1) عقد می تواند مملک باشد اما ایقاع هیچگاه مملک نیست. | 2) در هر دو ممکن است حق رجوع وجود داشته باشد. | 3) عیوب اراده در هر دو می تواند مؤثر باشد. | 4) هر دو اصولاً توسط نماینده می تواند انجام شود .
14,حقوق مدنی,با توجه به قانون روابط موجر و مستأجر 1376 کدام مورد صحیح است؟,1) مستاجر صاحب سرقفلی قبل از تخلیه هر زمانی می تواند نسبت به مطالبه سرقفلی از موجر اقدام کند. | 2) ارزش سرقفلی به نرخ عادله روز جهت پرداخت صرفا با نظر دادگاه قابل تعیین خواهد بود. | 3) مستاجر صاحب سرقفلی نمی تواند در اثنای مدت اجاره برای واگذاری حق خود مبلغی را از مستاجر دیگر به عنوان سرقفلی دریافت کند . | 4) مستاجر صاحب سرقفلی، حق انتقال سرقفلی خویش به غیر را دارد مگر اینکه در ضمن عقد اجاره این حق از وی سلب شده باشد.
15,حقوق مدنی,کدام مورد در خصوص حقوق پدیدآورندگان آثار، صحیح نیست؟,1) حق بهره برداری عرضه و اجرای اثر جزو حقوق انحصاری پدید آورنده محسوب می شود . | 2) نقل از آثار انتشار یافته و استناد به آنها برای مقاصد علمی، ادبی و آموزشی بدون هیچ قید و شرطی مجاز است. | 3) حقوق معنوی پدیدآورنده اثر غیر قابل انتقال است. | 4) یک اثر زمانی مشترک است که کار یکایک پدیدآورندگان جدا و متمایز نباشد.
16,حقوق مدنی,« الف» به عنوان وکیل »ب« ملک »ب« را به یک سوم قیمت عرفی به «ج» واگذار می کند. با توجه به اینکه در وکالتنامه «الف» قید گردیده بود که نامبرده می تواند ملک مذکور را به هر شخص و به هر قیمتی و حتی به خود واگذار نماید وضعیت معامله مذکور از حیث صحت چگونه است؟,1) به دلیل عدم رعایت غبطه موکل معامله غیر نافذ بوده و با رد «ب»، معامله باطل می شود. | 2) به دلیل اعطای اختیار از ناحیه موکل اقدام «الف» صحیح و اقدام «ب» مشمول قاعده اقدام است. | 3) معامله در مقابل «ب» غیر قابل استناد است . | 4) به دلیل عدم رعایت غبطه موکل معامله از سوی «ب» قابل فسخ است .
17,حقوق مدنی,کدام مورد در خصوص رد ترکه، صحیح است؟,1) رد مطلق ترکه ممکن نیست ولی رد مشروط آن امکان پذیر است. | 2) حق رد ترکه قابل انتقال به وراث نیست. | 3) درصورت یکه تحریر ترکه صورت گرفته باشد مهلت یکماهه رد ترکه از تاریخ ابلاغ خاتمه تحریر ترکه آغاز می‌شود. | 4) هرگاه اکثریت ورثه ترکه را رد نمایند موضوع در حکم ترکه بلاوارث خواهد بود.
18,حقوق مدنی,شخصی فوت می کند که حین الفوت همسرش باردار بوده و پدر و مادرش در قید حیات نیستند و به غیر از همسرش یک خواهر و برادر نیز دارد جنین بلافاصله بعد از تولد فوت می کند در این صورت کدام مورد صحیح است؟,1) از ماترک متوفی یک هشتم به همسر متوفی و مابقی به جنین می رسد. | 2) از ماترک متوفی یک هشتم به همسر وی و مابقی به برادر و خواهر متوفی می رسد. | 3) کل ماترک مستقیم به همسر متوفی می رسد . | 4) ماترک متوفی به همسر، برادر و خواهر می رسد.
19,حقوق مدنی,عین معین متعلق به متعهدله نزد متعهد است، متعهد به جای آن مال، مال دیگری به متعهدله میدهد و مورد قبول متعهدله قرار میگیرد ماهیت این امر چیست؟,1) تهاتر قراردادی در مقام وفای به عهد | 2) معاوضه یا بیع یا صلح در مقام معاوضه یا بیع | 3) وفای به عهد | 4) فقط معاوضه
20,حقوق مدنی,آیا مستعیر می تواند از جهت تعهد به حفاظت و اداره مال، مال عاریه را به تصرف غیر دهد؟,1) مستعیر تنها و منحصراً با اجازه مالک یا حاکم می تواند مال عاریه را به غیر بسپارد . | 2) مستعیر نمی تواند مال عاریه را به هیچ نحوی به تصرف غیر دهد. | 3) مستعیر تنها و منحصرا با اجازه مالک می تواند مال عاریه را به غیر بسپارد حتی اگر مال در معرض خطر باشد و لازمه احتراز از خطر سپردن مال به دیگری باشد. | 4) اگر مستعیر مورد عاریه را در خطر ببیند و به مالک دسترسی نداشته باشد، برای احتراز از خطر می تواند آن را به دیگری بسپارد.
21,آیین دادرسی مدنی,چنانچه آیین نامه دولتی با صدور رأی هیئت عمومی دیوان عدالت اداری ابطال شود، در خصوص اثر این ابطال کدام مورد صحیح است؟,1) اثر ابطال از زمان صدور رای جاری است مگر آیین نامه همزمان به علت مخالفت با قوانین موجد حق ابطال شده باشد. | 2) اثر ابطال از زمان صدور رأی جاری است مگر به علت خلاف شرع ابطال شده و یا در رأی تصریح شده باشد که از زمان تصویب مصوبه جاری است. | 3) اثر ابطال در هر حال از زمان تصویب آیین نامه جاری است مگر در رأی خلاف آن تصریح شده باشد . | 4) اثر ابطال در هر حال از زمان صدور رأی ابطال جاری است مگر در رأی خلاف آن تصریح شده باشد.
22,آیین دادرسی مدنی,دو شخص که اختلاف خود را برای فصل، به سه نفر داور ارجاع دادهاند. پس از ارجاع به داوری به دو نفر از آنها اختیار صلح و سازش نیز می دهند. چنانچه هیئت داوری اقدام به صدور رأیی نماید که در صدور آن فقط دو نفر از داوران رأی موافق داده باشند کدام مورد صحیح است؟,1) رای داوری در صورتی قابل درخواست بطلان نیست که دو نفری که حق صلح و سازش دارند با آن موافق بوده باشند. | 2) رأی داوری فقط در صورتی قابلیت درخواست بطلان ندارد که داوری که حق صلح و سازش نداشته، نظر مخالف نداده باشد . | 3) رای داوری قابل درخواست بطلان نیست. | 4) رأی داوری قابل درخواست بطلان است.
23,آیین دادرسی مدنی,حکمی در تأیید حکم دادگاه نخستین از دادگاه تجدیدنظر استان صادر و در مهلت مقرر از آن فرجام خواهی می شود. چنانچه دیوان عالی کشور، عدم صحت سند مستند حکم فرجام خواسته را احراز نماید، کدام مورد صحیح است؟,1) فقط چنانچه سند، عادی باشد رأی را نقض می کند و پرونده را به دادگاه هم عرض ارجاع می دهد. | 2) فقط چنانچه سند، رسمی باشد رای را نقض می کند و پرونده را به دادگاه صادر کننده رای منقوض ارجاع می دهد. | 3) حکم را نقض و پرونده را به دادگاه هم عرض ارجاع می دهد. | 4) حکم را نقض و پرونده را به دادگاه صادر کننده رأی منقوض ارجاع می دهد.
24,آیین دادرسی مدنی,حکمی قطعی از دادگاه تجدید نظر استان، له شخص «الف» با وکالت شخص «ج» علیه شخص «ب» صادر و در تاریخ 1390/2/1  ابلاغ گردیده و حکم اجرا شده است. همان شخص «ج» اصالتاً در تاریخ 5/5/1403 نسبت به همان حکم اعتراض ثالث می نماید. در مورد قابل استماع بودن اعتراض ثالث با لحاظ مدت کدام مورد صحیح است؟,1) در صورتی که ثابت شود حقوقی که اساس و ماخذ اعتراض است قانوناً ساقط نشده، قابل استماع است. | 2) اگر اعتراض ثالث طاری باشد. در هر حال مسموع است. | 3) فقط در اعتراض ثالث طاری در صورتی که ثابت شود حقوقی که اساس و مأخذ اعتراض است، قانوناً ساقط نشده مسموع است. | 4) فقط در صورتی که ثابت شود محکوم له حکم مورد اعتراض حق خود را انتقال نداده است مسموع است.
25,آیین دادرسی مدنی,در خصوص رعایت اصول و تشریفات دادرسی در رسیدگی به امور حقوقی با توجه به قانون شوراهای حل اختلاف مصوب 1402 کدام مورد صحیح است؟,1) رعایت اصول دادرسی در دادگاه عمومی حقوقی و صلح الزامی است اما رعایت تشریفات دادرسی در دادگاه صلح الزامی نیست . | 2) رعایت اصول دادرسی در دادگاه عمومی حقوقی و دادگاه صلح و شورای حل اختلاف الزامی است اما رعایت تشریفات دادرسی در دادگاه صلح و شورای حل اختلاف الزامی نیست | 3) عایت اصول و تشریفات دادرسی در دادگاه عمومی حقوقی و صلح الزامی است . | 4) رعایت اصول و تشریفات دادرسی در دادگاه عمومی حقوقی و صلح الزامی است اما در شورای حل اختلاف الزامی نیست.
26,آیین دادرسی مدنی,با توجه به قانون شوراهای حل اختلاف مصوب 1402 و قانون تشکیل دادگاههای خانواده تحریر ترکه، مهر و موم و رفع آن در صلاحیت چه مرجعی است؟,1) شورای حل اختلاف | 2) دادگاه عمومی حقوقی | 3) دادگاه خانواده | 4) دادگاه صلح
27,آیین دادرسی مدنی,داد خواستی در دیوان عدالت اداری مطرح شده که شاکیان آن پنج نفر می باشند. در خصوص رسیدگی شعبه دیوان به دادخواست مزبور کدام مورد صحیح است؟,1) اگر شکایات مندرج در دادخواست به طوری باشد که نتواند ضمن یک دادرسی به آنها رسیدگی کند و در عین حال منشا و مبنای واحدی نداشته باشند باید تفکیک و جداگانه رسیدگی کند. | 2) اگر شکایات مندرج در دادخواست منشا و مبنای واحد داشته یا دیوان بتواند ضمن یک دادرسی به آنها رسیدگی کند. دیوان به همه موارد ضمن یک دادرسی اتخاذ تصمیم می کند، در غیر این صورت موارد به تفکیک و جداگانه رسیدگی می شود. | 3) قانونگذار در دیوان عدالت اداری رسیدگی توام با تفکیک را به تشخیص شعبه دیوان واگذار نموده است. | 4) اگر شکایات مندرج در دادخواست منشا و مبنای واحد نداشته باشند شعبه دیوان در هر حال آنها را تفکیک نموده و جدا گانه رسیدگی می کند.
28,آیین دادرسی مدنی,سندی در خارج از کشور تنظیم شده و نماینده کنسولی موافقت آن را با قوانین کشور محل تنظیم تصدیق کرده است. در خصوص شرط گواهی وزارت امور خارجه، برای پذیرفته شدن آن سند در دادگاههای ایران، کدام مورد صحیح است؟,1) اگر نماینده کنسولی خارجه در ایران تصدیق کرده باشد، منوط بر تصدیق وزارت امور خارجه است. | 2) در هر حال گواهی وزارت امور خارجه لازم نیست . | 3) گواهی وزارت امور خارجه فقط در صورتی لازم است که ایران با کشور محل تنظیم سند قرارداد تعاون قضایی نداشته باشد. | 4) گواهی وزارت امور خارجه فقط در صورتی لازم است که ایران با کشور محل تنظیم سند قرارداد تعاون قضایی داشته باشد.
29,آیین دادرسی مدنی,در خصوص مهلت اعتراض به نظریه کارشناسی در پرونده دادرسی و ارزیاب در اجرای احکام مدنی و مبدا مهلت، کدام مورد صحیح است؟,1) در مورد کارشناس سه روز از تاریخ ابلاغ اخطار وصول نظریه و در مورد ارزیاب، هفت روز از تاریخ ابلاغ نظریه | 2) در مورد کارشناس و ارزیاب، هفت روز از تاریخ ابلاغ نظریه | 3) در مورد کارشناس هفت روز پس از تاریخ ابلاغ اخطار مبنی بر وصول نظریه و در مورد ارزیاب سه روز از تاریخ ابلاغ نظریه | 4) در مورد کارشناس هفت روز از تاریخ ابلاغ نظریه و در مورد ارزیاب سه روز از تاریخ ابلاغ وصول نظریه ارزیاب
30,آیین دادرسی مدنی,در خصوص قابلیت فرجام احکام صادره از دادگاه تجدید نظر راجع به متفرعات دعوی که ضمن رسیدگی به دعاوی راجع به اصل نکاح، فسخ آن و طلاق و نسب صادر می شود کدام مورد صحیح است؟,1) فقط در مورد احکام طلاق و نسب قابل فرجام است. | 2) در هر چهار حکم قابل فرجام است | 3) فقط در مورد احکام اصل نکاح و فسخ آن و اصل طلاق قابل فرجام است. | 4) فقط در مورد احکام طلاق، نسب و اصل نکاح قابل فرجام است.
31,آیین دادرسی مدنی,در دعوایی که به خواسته پرداخت ده میلیارد ریال علیه شخص «الف» و شخص «ب» اقامه شده و دادگاه نخستین حکم علیه خواهان صادر نموده محکوم علیه پس از تجدیدنظر خواهی نسبت به حکم سه ماه بعد در حالی که پرونده در دادگاه مطرح است تصمیم م یگیرد که شخص «ب» را از دعوای تجدیدنظر خارج کند.  دراینصورت کدام مورد صحیح است؟,1) باید درخواست استرداد دادخواست تجدید نظر نسبت به شخص «ب» در دادگاه تجدید نظر مطرح نماید. | 2) باید درخواست استرداد دادخواست تجدید نظر نسبت به شخص «ب» در دادگاه نخستین مطرح نماید. | 3) باید لایحه ای در قالب کاهش خواسته معطوف به کم کردن تجدید نظر خواندگان به دادگاه تجدیدنظر تقدیم نماید | 4) باید لایحه ای در قالب کاهش خواسته معطوف به کم کردن تجدید نظر خواندگان به دادگاه نخستین تقدیم نماید.
32,آیین دادرسی مدنی,حکم خلع ید از یک باب ویلا، له شخص «الف» و علیه شخص «ب» صادر، قطعی و اجرا می شود. شخص «الف» پس از اجرای حکم اقدام به تخریب بنای ویلا می نماید، سپس دو سال بعد، حکم مزبور در پی اعاده دادرسی، با حکم نهایی بلااثر می شود. در خصوص اعاده عملیات اجرایی حکم بلا اثر  شده، کدام مورد صحیح است؟,1) به دستور دادگاه اجرا کننده حکم بلااثر شده شخص «الف» از ملک خلع ید شده و ملک به تصرف »ب« داده می شود و بهای بنای تخریب شده نیز توسط کارشناس تعیین و از شخص «الف» گرفته شده و به شخص »ب« داده می شود. | 2) به دستور دادگاه صادر کننده حکم بلااثرکننده، شخص «الف» از ملک خلع ید شده و ملک به تصرف شخص »ب« داده می شود و بهای بنای تخریب شده نیز توسط کارشناس تعیین و از شخص «الف» گرفته شده و به شخص »ب« داده می شود. | 3) به دستور دادگاه اجرا کننده حکم بلااثر شده، شخص «الف» از ملک خلع ید و ملک به همان صورت به تصرف شخص »ب« داده می شود. | 4) به دستور دادگاه اجرا کننده حکم بلااثر شده، اجرائیه قبلی ابطال و شخص «الف» از ملک خلع ید و ملک به همان صورت به تصرف شخص «ب» داده می شود.
33,آیین دادرسی مدنی,چنانچه هر یک از اصحاب دعوی اصول استاد عادی را که رو گرفت آنها را ارائه کرده اند در اولین جلسه دادرسی حاضر نکند و طرف مقابل نسبت به آن اظهار انکار نماید کدام مورد صحیح است؟,1) خواه انکار کننده خواهان یا خوانده باشد سند فقط در صورتی از عداد دلایل خارج می شود که ابراز کننده سند در همان جلسه دلیل اصالت آن را ارائه ننماید . | 2) خواه انکارکننده خواهان  یا خوانده باشد  دادگاه میتواند بهاختیار خود سند را از عداد  دلایل خارج نموده یا جلسه را تجدید نماید. | 3) خواه انکار کننده خواهان یا خوانده باشد سند از عداد دلایل خارج می شود. | 4) اگر انکار کننده خواهان باشد سند از عداد دلایل خارج می شود و اگر انکار کننده خوانده باشد چنانچه دادخواست مستند به ادله دیگری نباشد در آن خصوص ابطال می شود.
34,آیین دادرسی مدنی,در خصوص بازداشت یک حلقه انگشتری گران قیمت، کدام مورد صحیح است؟,1) باید صورت برداری و ارزیابی شده و از محکوم علیه گرفته شده و به حافظ داده شود که می تواند هر شخصی باشد حتی بدون توافق طرفین و سپس ارزیابی شود . | 2) باید صورت برداری و ارزیابی شده و از محکوم علیه گرفته شده و به حافظ داده شود که حافظ می تواند فقط در صورت توافق طرفین حتی پسر عموی محکوم علیه باشد. | 3) کافی است صورت برداری شده و از محکوم علیه گرفته شده و به حافظ داده شود که می تواند هر شخصی باشد حتی بدون توافق طرفین و سپس ارزیابی شود. | 4) باید صورت برداری و ارزیابی شده و از محکوم علیه گرفته شده و به حافظ داده شود که حافظ می تواند حتی بدون توافق طرفین پسر عموی محکوم علیه باشد.
35,آیین دادرسی مدنی,خوانده دعوی برای اثبات ادعای خود مبنی بر مطالبه وجه نقد، دو گواه معرفی می کند دادگاه قرار رسیدگی به گواهی گواهان صادر می نماید و هر دو گواه برای حضور در جلسه دادرسی مقرر دعوت میشوند اما در جلسه دادرسی هیچ یک از گواهان حاضر نمی شود. در خصوص ضمانت اجرای این حضور و ارزش و تأثیر گواهی آنها کدام مورد صحیح است؟,1) دوباره احضار خواهند شد و در صورت حضور در هر حال تشخیص ارزش و تأثیر گواهی آنها با دادگاه است. | 2) دوباره احضار خواهند شد و در صورت حضور اگر شرایط گواه شرعی داشته باشند گواهی آنها به دادگاه تحویل می شود. | 3) گواهی از عداد دلایل خارج می شود. | 4) دوباره احضار خواهند شد و در صورت عدم حضور جلب خواهند شد .
36,آیین دادرسی مدنی,در دعوایی که خواسته آن چهل میلیون ریال تقویم شده است، حکمی از دادگاه صلح صادر و به اصحاب دعوی ابلاغ می شود. در خصوص امکان فرجام خواهی محکوم علیه از این حکم کدام مورد صحیح است؟,1) در هیچ صورت قابل فرجام نیست | 2) در هر صورت قابل فرجام است . | 3) اگر محکوم علیه در مهلت مقرر نسبت به آن تجدید نظرخواهی نکند و قطعی شود. می تواند در مهلت فرجامی، فرجام خواهی کند . | 4) اگر محکوم علیه در مهلت مقرر نسبت به آن تجدید نظر خواهی نکند و قطعی شود و خواسته بابت مهریه باشد، قابل فرجام است.
37,آیین دادرسی مدنی,حکمی از دادگاه تجدیدنظر استان صادر و قطعی شده و عملیات اجرایی حکم در حال انجام است. نسبت به این حکم محکوم علیه درخواست اعاده دادرسی می نماید در خصوص تکلیف عملیات اجرایی کدام مورد صحیح است؟,1) در صورت صدور قرار قبولی اعاده دادرسی در محکوم به غیرمالی در صورتی که محکوم علیه تامین دهد اجرای حکم متوقف و در محکوم به مالی اجرای حکم متوقف می شود. | 2) در صورت صدور قرار قبولی اعاده دادرسی در محکوم به غیرمالی اجرای حکم متوقف و در محکوم به مالی نیز در صورتی که محکوم علیه تأمین دهد اجرای حکم متوقف می شود . | 3) با تقدیم دادخواست اعاده دادرسی و تکمیل دادخواست و ارجاع آن عملیات اجرایی در محکوم به مالی و غیرمالی متوقف می شود. | 4) در صورت صدور قرار قبولی اعاده دادرسی در محکوم به غیرمالی اجرای حکم متوقف و در محکوم به مالی با گرفتن تأمین از محکوم له ادامه می یابد.
38,آیین دادرسی مدنی,چنانچه خواهان در بخش هزینه دادرسی دادخواست ناقص تقدیم کند و در پی اخطار رفع نقص مدیر دفتر دادگاه، پس از یک ماه اقدام به رفع نقص نماید و مدیر دفتر از صدور قرار رد دادخواست خودداری و پرونده به گردش درآید و حکم صادر و پرونده در مرحله تجدید نظر برای رسیدگی به تجدیدنظر خواهی مطرح شود، در خصوص تکلیف دادگاه تجدید نظر کدام مورد صحیح است؟,1) دادگاه تجدید نظر دستور صدور اخطار رفع نقص به دفتر همین دادگاه می دهد. | 2) دادگاه تجدید نظر در این مورد اقدامی نمی نماید. | 3) دادگاه تجدید نظر قرار رد دادخواست نخستین صادر و حکم تجدیدنظر خواسته را فسخ می کند. | 4) دادگاه تجدید نظر پرونده را برای اتخاذ تصمیم مقتضی به دادگاه نخستین بر می گرداند.
39,آیین دادرسی مدنی,چنانچه میان دادگاه عمومی حقوقی و دادگاه کیفری دو از یک استان اختلاف در صلاحیت رخ دهد کدام مورد در خصوص مرجع حل اختلاف در صلاحیت صحیح است؟,1) شعبه کیفری دیوان عالی کشور | 2) دادگاه کیفری یک همان استان | 1) دادگاه تجدید نظر همان استان | 4) شعبه حقوقی دیوان عالی کشور
40,آیین دادرسی مدنی,دعوایی علیه سه نفر به اسامی شخص «الف» و شخص «ب» و شخص «ج» به خواسته 30 میلیارد ریال اقامه می شود. اخطار دعوت به اولین جلسه دادرسی و پیوست های احتمالی آن فقط به شخص «الف» ابلاغ واقعی و به دیگران ابلاغ قانونی می شود. در اولین جلسه دادرسی فقط شخص «ب» حاضر می شود و هیچ لایحهای واصل نمی شود. دادگاه در پایان همان جلسه اقدام به صدور حکم محکومیت «الف» و «ج» می نماید در خصوص توصیف حکم دادگاه به ترتیب نسبت به خواهان شخص «الف»، شخص «ب» و شخص «ج» کدام مورد صحیح است؟,1) حضوری – حضوری – حضوری – غیابی | 2) حضوری – حضوری –  غیابی  – غیابی | 3) حضوری – غیابی  –  غیابی  –  حضوری | 4) غیابی –  غیابی-  حضوری –  غیابی
41,حقوق تجارت,ضمانت اجرای عدم مطالبه باقیمانده مبلغ اسمی سهام در شرکت سهامی از سوی مدیران شرکت چیست؟,1) موجب ایجاد مسئولیت به جبران خسارت برای هیئت مدیره است. | 2) موجب ایجاد مسئولیت برای مدیر عامل در مطالبه باقیمانده مبلغ اسمی سهام است . | 3) از موجبات عزل هیئت مدیره است. | 4) از موجبات تعقیب کیفری هیئت مدیره است.
42,حقوق تجارت,در خصوص انتخاب یک شخص اصالتاً یا به نمایندگی از شخص حقوقی در ترکیب هیئت مدیره چند شرکت به طور همزمان، کدام مورد صحیح است؟,1) به عنوان عضو هیئت مدیره چند شرکت ممنوعیت ندارد ولی به عنوان مدیر عامل ممنوع است. | 2) فقط در شرکتهایی که تمام یا بخشی از سرمایه آن متعلق به دولت یا نهادها یا مؤسسات عمومی غیردولتی باشد، ممنوع است. | 3) در تمام شرکت ها ممنوع است. | 4) فقط در شرکتهای تعاونی ممنوع است.
43,حقوق تجارت,اگر پس از تقسیم و خاتمه ورشکستگی مالی متعلق به ورشکسته کشف شود، تکلیف اداره تصفیه و حکم قانونی آن چیست؟,1) در صورتی که مطالبات طلبکاران به طور کامل پرداخت نشده باشد اموال مذکور به فروش رسیده و بدون تشریفات بین طلبکاران تقسیم می شود. | 2) در صورتی که مطالبات طلبکاران به طور کامل پرداخت نشده باشد از طریق مزایده به فروش رسیده و حاصل فروش بین طلبکاران تقسیم می شود | 3) در هر حال، متعلق به ورشکسته است. | 4) پس از کسر هزینه های تصفیه به ورشکسته تحویل می شود.
