id,model,answer,confidence,latency_ms,raw,error,explanation,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words
34,openai/gpt-oss-120b,4.0,4.0,4477,"{""answer"":""4"",""confidence"":4}",,,,,,,
35,openai/gpt-oss-120b,4.0,5.0,2713,"{""answer"":""4"",""confidence"":5}",,,,,,,
36,openai/gpt-oss-120b,1.0,5.0,5032,"{""answer"":""1"",""confidence"":5}",,,,,,,
37,openai/gpt-oss-120b,2.0,5.0,4574,"{""answer"":""2"",""confidence"":5}",,,,,,,
38,openai/gpt-oss-120b,4.0,4.0,3790,"{""answer"":""4"",""confidence"":4}",,,,,,,
39,openai/gpt-oss-120b,1.0,4.0,2621,"{""answer"":""1"",""confidence"":4}",,,,,,,
40,openai/gpt-oss-120b,4.0,4.0,11356,"{""answer"":""4"",""confidence"":4}",,,,,,,
41,openai/gpt-oss-120b,1.0,4.0,1549,"{""answer"":""1"",""confidence"":4}",,,,,,,
42,openai/gpt-oss-120b,2.0,3.0,4077,"{""answer"":""2"",""confidence"":3}",,,,,,,
43,openai/gpt-oss-120b,4.0,5.0,2924,"{""answer"":""4"",""confidence"":5}",,,,,,,
44,openai/gpt-oss-120b,3.0,4.0,566,"{""answer"":""3"",""confidence"":4}",,,,,,,
45,openai/gpt-oss-120b,2.0,4.0,3056,"{""answer"":""2"",""confidence"":4}",,,,,,,
46,openai/gpt-oss-120b,1.0,4.0,5440,"{""answer"":""1"",""confidence"":4}",,,,,,,
47,openai/gpt-oss-120b,1.0,4.0,4033,"{""answer"":""1"",""confidence"":4}",,,,,,,
48,openai/gpt-oss-120b,1.0,4.0,7162,"{""answer"":""1"",""confidence"":4}",,,,,,,
49,openai/gpt-oss-120b,3.0,4.0,6958,"{""answer"":""3"",""confidence"":4}",,,,,,,
50,openai/gpt-oss-120b,1.0,4.0,23787,"{""answer"":""1"",""confidence"":4}",,,,,,,
51,openai/gpt-oss-120b,3.0,5.0,4749,"{""answer"":""3"",""confidence"":5}",,,,,,,
52,openai/gpt-oss-120b,1.0,4.0,10335,"{""answer"":""1"",""confidence"":4}",,,,,,,
53,openai/gpt-oss-120b,4.0,4.0,3122,"{""answer"":""4"",""confidence"":4}",,,,,,,
54,openai/gpt-oss-120b,1.0,3.0,50995,"{""answer"":""1"",""confidence"":3}",Failed to extract valid JSON structure from model output,,987.0,2183.0,3170.0,0.0,0.0
55,openai/gpt-oss-120b,4.0,4.0,6297,"{""answer"":""4"",""confidence"":4}",,,,,,,
56,openai/gpt-oss-120b,2.0,4.0,4657,"{""answer"":""2"",""confidence"":4}",,,,,,,
57,openai/gpt-oss-120b,2.0,4.0,4335,"{""answer"":""2"",""confidence"":4}",,,,,,,
58,openai/gpt-oss-120b,4.0,4.0,4174,"{""answer"":""4"",""confidence"":4}",,,,,,,
59,openai/gpt-oss-120b,3.0,4.0,11680,"{""answer"":""3"",""confidence"":4}",,,,,,,
60,openai/gpt-oss-120b,2.0,4.0,2356,"{""answer"":""2"",""confidence"":4}",,,,,,,
81,openai/gpt-oss-120b,3.0,3.0,7488,"{""answer"":""3"",""confidence"":3}",,,,,,,
82,openai/gpt-oss-120b,4.0,4.0,2462,"{""answer"":""4"",""confidence"":4}",,,,,,,
83,openai/gpt-oss-120b,4.0,3.0,6963,"{""answer"":""4"",""confidence"":3}",,,,,,,
84,openai/gpt-oss-120b,1.0,4.0,6402,"{""answer"":""1"",""confidence"":4}",,,,,,,
85,openai/gpt-oss-120b,1.0,4.0,7102,"{""answer"":""1"",""confidence"":4}",,,,,,,
86,openai/gpt-oss-120b,2.0,4.0,8514,"{""answer"":""2"",""confidence"":4}",,,,,,,
87,openai/gpt-oss-120b,3.0,4.0,6780,"{""answer"":""3"",""confidence"":4}",,,,,,,
88,openai/gpt-oss-120b,1.0,4.0,5053,"{""answer"":""1"",""confidence"":4}",,,,,,,
89,openai/gpt-oss-120b,2.0,3.0,8989,"{""answer"":""2"",""confidence"":3}",,,,,,,
90,openai/gpt-oss-120b,2.0,4.0,4900,"{""answer"":""2"",""confidence"":4}",,,,,,,
91,openai/gpt-oss-120b,4.0,5.0,2027,"{""answer"":""4"",""confidence"":5}",,,,,,,
92,openai/gpt-oss-120b,3.0,4.0,3966,"{""answer"":""3"",""confidence"":4}",,,,,,,
93,openai/gpt-oss-120b,2.0,5.0,3685,"{""answer"":""2"",""confidence"":5}",,,,,,,
94,openai/gpt-oss-120b,3.0,4.0,3162,"{""answer"":""3"",""confidence"":4}",,,,,,,
95,openai/gpt-oss-120b,4.0,4.0,5029,"{""answer"":""4"",""confidence"":4}",,,,,,,
96,openai/gpt-oss-120b,1.0,4.0,2459,"{""answer"":""1"",""confidence"":4}",,,,,,,
97,openai/gpt-oss-120b,2.0,4.0,12265,"{""answer"":""2"",""confidence"":4}",,,,,,,
98,openai/gpt-oss-120b,2.0,4.0,9608,"{""answer"":""2"",""confidence"":4}",,,,,,,
99,openai/gpt-oss-120b,4.0,4.0,13159,"{""answer"":""4"",""confidence"":4}",,,,,,,
100,openai/gpt-oss-120b,2.0,5.0,2948,"{""answer"":""2"",""confidence"":5}",,,,,,,
101,openai/gpt-oss-120b,3.0,5.0,4846,"{""answer"":""3"",""confidence"":5}",,,,,,,
102,openai/gpt-oss-120b,2.0,4.0,5860,"{""answer"":""2"",""confidence"":4}",,,,,,,
103,openai/gpt-oss-120b,1.0,3.0,9215,"{""answer"":""1"",""confidence"":3}",,,,,,,
104,openai/gpt-oss-120b,3.0,4.0,3687,"{""answer"":""3"",""confidence"":4}",,,,,,,
105,openai/gpt-oss-120b,1.0,5.0,2816,"{""answer"":""1"",""confidence"":5}",,,,,,,
106,openai/gpt-oss-120b,4.0,4.0,2811,"{""answer"":""4"",""confidence"":4}",,,,,,,
107,openai/gpt-oss-120b,2.0,4.0,3389,"{""answer"":""2"",""confidence"":4}",,,,,,,
108,openai/gpt-oss-120b,3.0,3.0,7930,"{""answer"":""3"",""confidence"":3}",,,,,,,
109,openai/gpt-oss-120b,3.0,4.0,7331,"{""answer"":""3"",""confidence"":4}",,,,,,,
110,openai/gpt-oss-120b,2.0,4.0,1011,"{""answer"":""2"",""confidence"":4}",,,,,,,
111,openai/gpt-oss-120b,2.0,4.0,5657,"{""answer"":""2"",""confidence"":4}",,,,,,,
112,openai/gpt-oss-120b,2.0,5.0,2698,"{""answer"":""2"",""confidence"":5}",,,,,,,
113,openai/gpt-oss-120b,3.0,4.0,4263,"{""answer"":""3"",""confidence"":4}",,,,,,,
114,openai/gpt-oss-120b,1.0,3.0,11154,"{""answer"":""1"",""confidence"":3}",,,,,,,
115,openai/gpt-oss-120b,2.0,4.0,3669,"{""answer"":""2"",""confidence"":4}",,,,,,,
116,openai/gpt-oss-120b,3.0,4.0,7282,"{""answer"":""3"",""confidence"":4}",,,,,,,
117,openai/gpt-oss-120b,2.0,4.0,4903,"{""answer"":""2"",""confidence"":4}",,,,,,,
118,openai/gpt-oss-120b,3.0,4.0,4677,"{""answer"":""3"",""confidence"":4}",,,,,,,
119,openai/gpt-oss-120b,4.0,4.0,3258,"{""answer"":""4"",""confidence"":4}",,,,,,,
120,openai/gpt-oss-120b,3.0,5.0,2018,"{""answer"":""3"",""confidence"":5}",,,,,,,
121,openai/gpt-oss-120b,2.0,5.0,8997,"{""answer"":""2"",""confidence"":5}",,,,,,,
122,openai/gpt-oss-120b,2.0,4.0,4668,"{""answer"":""2"",""confidence"":4}",,,,,,,
123,openai/gpt-oss-120b,1.0,5.0,3321,"{""answer"":""1"",""confidence"":5}",,,,,,,
124,openai/gpt-oss-120b,3.0,4.0,23813,"{""answer"":""3"",""confidence"":4}",,,,,,,
125,openai/gpt-oss-120b,1.0,4.0,4045,"{""answer"":""1"",""confidence"":4}",,,,,,,
126,openai/gpt-oss-120b,2.0,4.0,3749,"{""answer"":""2"",""confidence"":4}",,,,,,,
127,openai/gpt-oss-120b,4.0,4.0,5448,"{""answer"":""4"",""confidence"":4}",,,,,,,
128,openai/gpt-oss-120b,3.0,5.0,8270,"{""answer"":""3"",""confidence"":5}",,,,,,,
129,openai/gpt-oss-120b,4.0,4.0,6305,"{""answer"":""4"",""confidence"":4}",,,,,,,
130,openai/gpt-oss-120b,3.0,3.0,10300,"{""answer"":""3"",""confidence"":3}",,,,,,,
131,openai/gpt-oss-120b,2.0,4.0,2727,"{""answer"":""2"",""confidence"":4}",,,,,,,
132,openai/gpt-oss-120b,3.0,3.0,5596,"{""answer"":""3"",""confidence"":3}",,,,,,,
133,openai/gpt-oss-120b,4.0,4.0,9445,"{""answer"":""4"",""confidence"":4}",,,,,,,
134,openai/gpt-oss-120b,3.0,4.0,4765,"{""answer"":""3"",""confidence"":4}",,,,,,,
135,openai/gpt-oss-120b,3.0,5.0,3091,"{""answer"":""3"",""confidence"":5}",,,,,,,
136,openai/gpt-oss-120b,3.0,4.0,5525,"{""answer"":""3"",""confidence"":4}",,,,,,,
137,openai/gpt-oss-120b,2.0,4.0,6127,"{""answer"":""2"",""confidence"":4}",,,,,,,
138,openai/gpt-oss-120b,3.0,4.0,9288,"{""answer"":""3"",""confidence"":4}",,,,,,,
139,openai/gpt-oss-120b,1.0,4.0,3527,"{""answer"":""1"",""confidence"":4}",,,,,,,
140,openai/gpt-oss-120b,4.0,3.0,12250,"{""answer"":""4"",""confidence"":3}",,,,,,,
