idx,explanation,model_predict
20,"در عقد عاریه، مستعیر امین محسوب می‌شود و موظف به حفظ مال است. اگر مال عاریه در معرض خطر باشد و مستعیر به مالک دسترسی نداشته باشد، به حکم ضرورت و برای انجام وظیفه حفظ مال، می‌تواند مال را به شخص دیگری بسپارد تا از خطر احتراز شود.",4
21,"طبق تبصره ۲ ماده ۸۹ قانون تشکیلات و آیین دادرسی دیوان عدالت اداری (مصوب ۱۳۹۲ و اصلاحات بعدی)، اثر ابطال مصوبات از زمان صدور رأی هیئت عمومی است، مگر در مورد مصوباتی که به علت مغایرت با شرع ابطال می‌شوند که اثر ابطال آنها از زمان تصویب مصوبه است. همچنین، هیئت عمومی می‌تواند در رأی خود، زمان شروع اثر ابطال را تعیین کند.",2
22,"طبق ماده ۴۸۴ قانون آیین دادرسی مدنی، در صورتی که تعداد داوران بیش از یک نفر باشد، رأی داوری باید با اکثریت آرا صادر شود. در این سؤال، رأی با موافقت دو نفر از سه داور صادر شده است که اکثریت را تشکیل می‌دهد. بنابراین، رأی داوری صحیحاً صادر شده و قابل درخواست بطلان نیست.",3
23,"طبق ماده ۳۹۷ قانون آیین دادرسی مدنی، هرگاه رأی فرجام‌خواسته به جهت عدم صحت اسناد و مدارک مورد استناد، نقض شود، پرونده برای رسیدگی مجدد به دادگاه هم‌عرض دادگاه صادرکننده رأی منقوض ارجاع می‌گردد.",3
24,"طبق ماده ۴۲۳ قانون آیین دادرسی مدنی، در صورتی که حکم مورد اعتراض به مرحله اجرا درآمده باشد، اعتراض ثالث مسموع است، مشروط بر اینکه معترض ثالث ثابت نماید حقوقی که اساس و مأخذ اعتراض است، به موجب قانون ساقط نشده باشد.",1
25,"طبق ماده ۱۱ قانون شوراهای حل اختلاف مصوب ۱۴۰۲، دادگاه صلح مکلف است اصول دادرسی را رعایت کند، اما از رعایت تشریفات آیین دادرسی مدنی معاف است. در دادگاه عمومی حقوقی، رعایت هر دو (اصول و تشریفات) الزامی است.",1
26,"طبق بند (د) ماده ۹ قانون شوراهای حل اختلاف مصوب ۱۴۰۲، رسیدگی به امور حسبی، مهر و موم ترکه و رفع آن، و تحریر ترکه در صلاحیت دادگاه صلح است.",4
27,"طبق ماده ۲۱ قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، اگر شکایات مندرج در دادخواست منشأ و مبنای واحد داشته یا دیوان بتواند ضمن یک دادرسی به آنها رسیدگی کند، به همه موارد ضمن یک دادرسی اتخاذ تصمیم می‌شود. در غیر این صورت، موارد به تفکیک و جداگانه رسیدگی خواهد شد.",2
28,"طبق ماده ۱۲۹۵ قانون آیین دادرسی مدنی، اسناد تنظیم شده در خارج از کشور در دادگاه‌های ایران پذیرفته می‌شوند، مشروط بر اینکه نماینده کنسولی ایران در آن کشور مطابقت آن را با قوانین محل تنظیم تصدیق کرده و وزارت امور خارجه نیز امضای نماینده کنسولی را گواهی نماید. با این حال، در صورت وجود قراردادهای همکاری قضایی، تشریفات گواهی وزارت امور خارجه ممکن است لغو شده باشد. بنابراین، گواهی وزارت امور خارجه فقط در صورتی لازم است که قرارداد تعاون قضایی وجود نداشته باشد.",3
29,"در مورد نظریه کارشناسی در مرحله دادرسی، طبق ماده ۲۶۰ قانون آیین دادرسی مدنی، مهلت اعتراض هفت روز پس از ابلاغ اخطار مبنی بر وصول نظریه کارشناس است. در مورد نظریه ارزیاب در اجرای احکام مدنی، طبق ماده ۷۳ قانون اجرای احکام مدنی، مهلت اعتراض سه روز از تاریخ ابلاغ نظریه ارزیاب است.",3
30,"طبق بند الف ماده ۳۶۸ قانون آیین دادرسی مدنی، احکام صادره از دادگاه تجدیدنظر استان در دعاوی راجع به اصل نکاح و فسخ آن، اصل طلاق و نسب، قابل فرجام‌خواهی در دیوان عالی کشور است. بنابراین، هر چهار مورد ذکر شده در سؤال (در خصوص اصل دعوی) قابل فرجام است.",2
31,"استرداد دادخواست تجدیدنظر (یا بخشی از آن نسبت به یکی از تجدیدنظرخواندگان) باید به دادگاهی که پرونده در آن مطرح است، یعنی دادگاه تجدیدنظر، ارائه شود (ماده ۳۶۳ قانون آیین دادرسی مدنی). این اقدام، استرداد دادخواست تجدیدنظر نسبت به شخص «ب» محسوب می‌شود.",1
32,"طبق ماده ۳۹ قانون اجرای احکام مدنی، هرگاه حکمی که به موقع اجرا گذاشته شده، به موجب حکم نهایی دیگری بلااثر شود، عملیات اجرایی به دستور دادگاه اجراکننده حکم به حالت قبل از اجرا برمی‌گردد. در این حالت، علاوه بر خلع ید و بازگرداندن ملک به تصرف محکوم‌علیه (ب)، خسارات وارده ناشی از تخریب (بهای بنای تخریب شده) نیز باید توسط محکوم‌له (الف) جبران شود.",1
33,"طبق ماده ۹۶ قانون آیین دادرسی مدنی، در صورتی که هر یک از اصحاب دعوا اصول اسناد عادی را که رونوشت آنها را ارائه کرده‌اند، در جلسه دادرسی حاضر نکند و طرف مقابل نسبت به آن اظهار انکار نماید، دادگاه آن سند را از عداد دلایل خارج خواهد کرد. این حکم بدون توجه به اینکه انکارکننده خواهان یا خوانده باشد، اعمال می‌شود.",3
34,"طبق ماده ۶۶ قانون اجرای احکام مدنی، اموال منقول توقیف شده باید صورت‌برداری و ارزیابی شوند. طبق ماده ۶۸، حافظ با تراضی طرفین تعیین می‌شود و در صورت عدم تراضی، مدیر اجرا شخصی را که قابل اعتماد بداند معین می‌کند. بنابراین، حافظ می‌تواند حتی بدون توافق طرفین تعیین شود.",4
35,"طبق ماده ۲۴۸ قانون آیین دادرسی مدنی، اگر گواهانی که احضار شده‌اند در جلسه دادرسی حاضر نشوند، دوباره احضار خواهند شد. در صورت حضور، تشخیص ارزش و تأثیر گواهی با دادگاه است (ماده ۲۴۱ ق.آ.د.م).",1
36,"طبق تبصره ۱ ماده ۱۰ قانون شوراهای حل اختلاف مصوب ۱۴۰۲، آرای دادگاه صلح در دعاوی مالی که خواسته آن تا مبلغ پنجاه میلیون ریال باشد، قطعی است. از آنجایی که خواسته ۴۰ میلیون ریال است، حکم قطعی بوده و قابلیت تجدیدنظرخواهی ندارد و احکام قطعی دادگاه صلح اصولاً قابل فرجام‌خواهی نیستند.",1
37,"طبق ماده ۴۳۸ قانون آیین دادرسی مدنی، در صورتی که قرار قبولی اعاده دادرسی صادر شود، اجرای حکم در محکوم‌به غیرمالی متوقف می‌شود. اما در محکوم‌به مالی، اجرای حکم فقط در صورتی متوقف می‌شود که محکوم‌علیه تأمین مناسب بدهد.",2
38,"طبق ماده ۳۵۲ قانون آیین دادرسی مدنی، هرگاه دادگاه تجدیدنظر تشخیص دهد که دادگاه بدوی در رسیدگی به دعوا قرار رد یا ابطال دادخواست صادر نکرده، در حالی که باید صادر می‌کرده است (مانند عدم رفع نقص در مهلت مقرر در خصوص هزینه دادرسی)، دادگاه تجدیدنظر رأی تجدیدنظرخواسته را فسخ و قرار مقتضی (قرار رد دادخواست نخستین) را صادر می‌نماید.",3
39,"طبق بند (الف) ماده ۲۸ قانون آیین دادرسی مدنی، حل اختلاف در صلاحیت بین دادگاه‌های یک استان (اعم از حقوقی و کیفری) با دادگاه تجدیدنظر همان استان است.",3
40,"حکم دادگاه نسبت به خواهان همیشه حضوری است. نسبت به خواندگان: الف (ابلاغ واقعی، غایب) حضوری است. ب (ابلاغ قانونی، حاضر) حضوری است. ج (ابلاغ قانونی، غایب) غیابی است. بنابراین، توصیف حکم به ترتیب نسبت به خواهان، الف، ب و ج عبارت است از: حضوری – حضوری – حضوری – غیابی.",1
41,"طبق ماده ۳۴ لایحه اصلاحی قانون تجارت (LAL)، اگر بقیه مبلغ اسمی سهام در موعد مقرر مطالبه نشود، مدیران شرکت نسبت به ضرر و زیانی که از این بابت متوجه شرکت و بستانکاران گردد، مسئول خواهند بود. این مسئولیت، مسئولیت مدنی برای جبران خسارت است.",1
42,"طبق ماده ۱۱۱ لایحه اصلاحی قانون تجارت، هیچ‌کس نمی‌تواند در عین حال مدیرعامل یا عضو هیئت مدیره بیش از یک شرکت سهامی باشد. این ممنوعیت شامل عضویت اصالتاً یا به نمایندگی از شخص حقوقی است. اگرچه این ممنوعیت فقط در مورد شرکت‌های سهامی است، اما در مقایسه با سایر گزینه‌ها که نادرست هستند، و با فرض تعمیم این ممنوعیت به عنوان یک اصل کلی در شرکت‌های سهامی، گزینه ۳ انتخاب می‌شود.",3
43,"طبق ماده ۵۷۱ قانون تجارت، اگر پس از ختم ورشکستگی مالی متعلق به ورشکسته کشف شود، اداره تصفیه باید آن مال را از طریق مزایده به فروش رسانده و حاصل فروش را بین طلبکارانی که مطالباتشان به طور کامل پرداخت نشده است، تقسیم کند.",2
44,"ثبت نام در دفتر ثبت تجاری، اماره‌ای قوی بر تاجر بودن شخص ایجاد می‌کند. این اماره در رویه قضایی، قاضی را مکلف می‌کند که شخص را تاجر فرض کرده و دعوای اعسار او را رد کند، زیرا تاجر باید تقاضای ورشکستگی نماید.",2
45,"طبق ماده ۱۶۰ لایحه اصلاحی قانون تجارت، مبلغ اضافی (اضافه ارزش سهام) را می‌توان به حساب اندوخته شرکت منتقل نمود یا در مقابل آن سهام جدید به صاحبان سهام سابق داد. انتقال به حساب اندوخته شرکت شامل اندوخته‌های قانونی و اختیاری است. بنابراین، انتقال آن به اندوخته اختیاری مجاز است.",4
46,"طبق ماده ۳۳۸ قانون تجارت، اگر دلال در نفس معامله منتفع باشد و این موضوع را به طرفی که او را مأمور کرده است اطلاع ندهد، علاوه بر اینکه مسئول خسارات وارده است، متضامناً با طرف دیگر معامله مسئول اجرای تعهد خواهد بود.",1
47,"طبق قانون تجارت، اگر براتی که در چند نسخه صادر شده و هنوز قبول نشده است، مفقود شود (گزینه ۲)، دارنده می‌تواند با استفاده از نسخه‌های دیگر برات، حقوق خود را استیفا کند و نیازی به دادن ضامن یا دخالت دادگاه برای مطالبه وجه ندارد.",2
48,"طبق ماده ۲۴۱ لایحه اصلاحی قانون تجارت، کارمندان رسمی دولت نمی‌توانند عضو هیئت مدیره یا مدیرعامل شرکت‌های سهامی باشند. ضمانت اجرای این ممنوعیت، این است که هر ذی‌نفعی می‌تواند ابطال تصمیم مجمع عمومی راجع به انتخاب چنین مدیری را از دادگاه درخواست کند.",1
49,"طبق ماده ۱۴۴ لایحه اصلاحی قانون تجارت، در صورتی که بازرس اصلی عزل شود، بازرس علی‌البدل به جای او انجام وظیفه خواهد نمود. بنابراین، بازرس علی‌البدل به صورت اتوماتیک جانشین او می‌شود.",2
50,"طبق ماده ۲۲۰ لایحه اصلاحی قانون تجارت، اگر شرکت تضامنی به شرکت سهامی خاص تبدیل شود، مسئولیت شرکای شرکت در قبال طلبکاران زمان تبدیل کماکان تضامنی است.",3
51,"برای انتشار اعلامیه پذیره‌نویسی شرکت سهامی عام، ابتدا باید موافقت‌نامه سازمان بورس و اوراق بهادار اخذ شود و سپس مرجع ثبت شرکت‌ها اجازه انتشار اعلامیه پذیره‌نویسی را صادر کند.",3
52,"در شرکت‌های سهامی (اعم از عام و خاص)، مسئولیت سهامداران محدود به مبلغ اسمی سهام آنها است. بنابراین، ورشکستگی یک سهامدار هیچ تأثیری بر وضعیت حقوقی شرکت نداشته و شرکت به دلیل ورشکستگی سهامدار ورشکسته نمی‌شود.",4
53,"در روابط بین صادرکننده و دارنده بلافصل (که طرف قرارداد مبایعه‌نامه است)، صادرکننده می‌تواند به ایرادات ناشی از قرارداد پایه (مانند عدم تحقق شرط انتقال سند رسمی) استناد کند.",1
54,"مزایای قانونی سند تجاری شامل مرور زمان ۵ ساله (ماده ۳۱۸ ق.ت) و تضامن امضاکنندگان (ماده ۳۱۹ ق.ت) است. اگر چک از طرف تاجر یا برای امور تجارتی صادر نشده باشد، این مزایا زایل می‌شوند. بنابراین، این ادعا که مزایای قانونی سند تجاری زایل نمی‌شود (گزینه ۱)، نادرست است.",1
55,"طبق ماده ۵ مکرر قانون صدور چک (اصلاحی ۱۳۹۷)، بانک مکلف است به محض دریافت گواهی عدم پرداخت، موجودی کلیه حساب‌های صادرکننده را نزد *آن بانک* به میزان کسری مبلغ چک مسدود کند. این مسدودی به صورت خودکار شامل حساب‌های صادرکننده در سایر بانک‌ها نمی‌شود.",3
56,"طبق ماده ۴۳۷ قانون تجارت، حکم ورشکستگی قابل اعتراض، تجدیدنظر و فرجام است. بنابراین، این حکم قطعی نیست، اگرچه به طور موقت اجرا می‌شود.",2
57,"طبق ماده ۴۱۸ قانون تجارت، از تاریخ صدور حکم ورشکستگی، تاجر از مداخله در تمام اموال و حقوق مالی خود ممنوع است. واگذاری حق انتفاع یک ساله آپارتمان مسکونی یک عمل حقوقی مالی است که مستلزم مداخله در حقوق مالی تاجر ورشکسته است و بنابراین، نافذ نیست.",3
58,"در اسناد تجاری، هرگونه تغییر یا تصحیح در متن سند باید توسط صادرکننده امضا شود تا معتبر باشد. در این حالت، صادرکننده مبلغ را در ظهر سند تصحیح کرده و مجدداً امضا نموده است. این عمل نشان‌دهنده اراده نهایی صادرکننده برای تعیین مبلغ جدید است. بنابراین، مبلغ مندرج در ظهر سند که با امضای صادرکننده تأیید شده است، مناط اعتبار خواهد بود.",4
59,"طبق ماده ۳۵ لایحه اصلاحی قانون تجارت، در صورتی که مبلغ اسمی سهام تماماً پرداخت نشده باشد، انتقال‌دهنده و انتقال‌گیرنده گواهینامه موقت سهام، متضامناً مسئول پرداخت بقیه مبلغ اسمی آن خواهند بود.",3
60,"طبق ماده ۴۷۶ قانون تجارت، طلبکاران می‌توانند ظرف ده روز از تاریخ انتشار صورت مطالبات تصدیق شده، نسبت به رد طلب یا حق رجحان خود یا قبول طلب یا حق رجحان دیگری اعتراض کنند.",2
81,"طبق ماده ۱۰ قانون مجازات اسلامی، اگر شخصی در خارج از ایران مرتکب جرمی شود که طبق قوانین ایران قابل مجازات باشد و در خارج از کشور محاکمه و مجازات شده باشد، در صورت محاکمه مجدد در ایران، دادگاه ایرانی میزان مجازات اجرا شده در خارج را در تعیین مجازات تعزیری کسر می‌کند (تبصره ۱ ماده ۱۰). در این حالت، چون جرم جعل امضای وزیر دادگستری، جرمی علیه امنیت و اعتبار دولت ایران محسوب می‌شود، مشمول صلاحیت ایران است و محاکمه مجدد با احتساب مجازات اجرا شده در آلمان امکان‌پذیر است.",1
82,"در این حالت، سرباز برای جلوگیری از وقوع ضرر بزرگتر (افتادن اطلاعات محرمانه به دست دشمن) مرتکب ضرر کوچکتر (تخریب بیسیم) شده است. این وضعیت در حقوق جزا تحت عنوان «اجرای قانون اهم» یا «اضطرار» توجیه می‌شود، که در آن فرد برای حفظ یک مصلحت مهم‌تر، ناچار به ارتکاب عملی می‌شود که در شرایط عادی جرم است.",3
83,"طبق قانون تعیین جرایم قابل گذشت (مصوب ۱۳۹۹)، توهین به زنان در معابر و انظار عمومی (موضوع ماده ۶۱۹ قانون مجازات اسلامی) جزو جرایم قابل گذشت محسوب می‌شود. سایر موارد ذکر شده (خیانت در امانت، کلاهبرداری ساده، جعل) اصولاً غیرقابل گذشت هستند.",3
84,"طبق تبصره ۱ ماده ۲۰ قانون مجازات اسلامی، در صورتی که شخص حقوقی به ارتکاب جرمی محکوم شود که مستلزم پرداخت دیه یا ارش باشد، شخص حقوقی مکلف به پرداخت آن است. همچنین، طبق بند ب ماده ۲۰، مجازات‌های تعزیری قابل اعمال بر شخص حقوقی شامل مواردی مانند انتشار حکم محکومیت است. بنابراین، دیه و انتشار حکم محکومیت قابل اعمال است.",4
85,مجازات‌های تبعی (ماده ۲۵ ق.م.ا) به صورت خودکار و با مدت‌های ثابت قانونی اعمال می‌شوند و میزان آنها ثابت است. اما مجازات‌های تکمیلی (ماده ۲۳ ق.م.ا) اختیاری هستند و قاضی می‌تواند آنها را تعیین کند (بدون حداقل) و حداکثر مدت آنها نیز در قانون مشخص شده است (مثلاً حداکثر دو سال).,2
86,"طبق ماده ۳۷ قانون مجازات اسلامی، دادگاه می‌تواند مجازات تعزیری را تخفیف دهد یا به مجازات دیگری تبدیل کند. مصادره اموال (درجه ۳) یک مجازات مالی است که معمولاً به دلیل ارتباط مستقیم با عواید حاصل از جرم، در مقام تخفیف به مجازات دیگری تبدیل نمی‌شود، بلکه ممکن است میزان آن کاهش یابد یا به جزای نقدی تبدیل شود. در عمل و رویه قضایی، مصادره اموال به عنوان یک مجازات تعزیری خاص، کمتر از سایر مجازات‌ها (مانند حبس یا شلاق) قابلیت تبدیل به مجازات‌های غیرمالی دیگر را دارد.",1
87,"طبق بند الف ماده ۴۶ و بند ب ماده ۴۰ قانون مجازات اسلامی، تعلیق اجرای مجازات و تعویق صدور حکم در مورد افرادی که دارای سابقه محکومیت کیفری مؤثر هستند، ممنوع است. اما آزادی مشروط (ماده ۵۸ ق.م.ا) صرفاً مستلزم گذراندن بخشی از محکومیت حبس و احراز شرایطی مانند حسن اخلاق است و سابقه محکومیت کیفری مؤثر، مانع بهره‌مندی از آن نیست.",3
88,"طبق ماده ۴۴ قانون مجازات اسلامی، در صورتی که محکوم‌علیه در مدت تعویق صدور حکم، دستورات دادگاه را به طور کامل اجرا کند، دادگاه حکم به معافیت از کیفر صادر می‌کند.",1
89,"طبق تبصره ۱ ماده ۱۳۵ قانون مجازات اسلامی، در صورت تعدد جرایم عمدی و غیرعمدی، قواعد تعدد فقط در مورد جرایم عمدی اعمال می‌شود و مجازات جرم غیرعمدی (الف) به صورت جداگانه تعیین می‌گردد (معمولاً حداقل مجازات). در مورد جرایم عمدی (ب، ج، د)، طبق ماده ۱۳۴، دادگاه باید برای جرمی که مجازات آن شدیدتر است (د، درجه ۶) حداکثر مجازات را تعیین کند و می‌تواند آن را تا یک ششم حداکثر تشدید نماید. برای سایر جرایم عمدی (ب و ج) نیز حداکثر مجازات تعیین می‌شود. گزینه ۲ به درستی به تفکیک جرم غیرعمدی (الف) و اعمال قواعد تشدید (۱/۶) برای جرایم عمدی (ب و د) اشاره دارد.",2
90,"طبق ماده ۴ قانون مجازات اسیدپاشی و حمایت از بزه دیدگان ناشی از آن (مصوب ۱۳۹۸)، معاونت در اسیدپاشی مشمول مجازات‌های خاص مقرر در این قانون (حبس تعزیری درجه ۱ یا ۲) است و از قواعد عمومی معاونت در قانون مجازات اسلامی تبعیت نمی‌کند.",3
91,"طبق ماده ۱۲۲ قانون مجازات اسلامی، شروع به جرم عبارت است از انجام عملیات اجرایی جرم که به دلیل مانع خارجی، نتیجه مورد نظر حاصل نشود. در اینجا، «الف» عملیات اجرایی (حفاری) را به قصد تحصیل مال تاریخی انجام داده، اما به دلیل عدم وجود مال، نتیجه حاصل نشده است. جرم حفاری غیرمجاز (ماده ۵۶۲ ق.م.ا) تعزیری درجه ۵ است و شروع به آن قابل مجازات است.",4
92,"کارمند ثبت اسناد رسمی، با وجود اطلاع از وضعیت پلاک (متعلق به منابع طبیعی)، تصرفات مالکانه شخص را تأیید و در فرایند انتشار آگهی قرار می‌دهد. این عمل، به دلیل اینکه کارمند رسمی در حین انجام وظیفه، محتوای یک سند رسمی (آگهی ثبت) را با علم به خلاف واقع بودن، به صورت نادرست تنظیم می‌کند، مشمول عنوان «جعل مفادی» یا «جعل در اسناد رسمی» است.",3
93,"طبق ماده ۲۹۶ قانون مجازات اسلامی (قاعده اشتباه در هدف یا Aberratio Ictus)، اگر فردی قصد قتل محقون‌الدمی (ب) را داشته باشد اما تیر به محقون‌الدم دیگری (ج) اصابت کند، قتل نسبت به (ج) شبه عمد محسوب می‌شود. اما اگر (ج) مهدورالدم باشد، خونش هدر است.",4
